,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
97,I-BET-151,trt_cp,1.189,0.85,1.189,68,51,17,129,
98,DFFA,trt_sh,1.188,-0.63,1.188,13,8,5,27,
99,SIRT5,trt_sh,1.187,0.953,1.187,10,9,1,33,
100,indirubin,trt_cp,1.187,-0.594,1.187,44,28,16,83,CDK inhibitor|Glycogen synthase kinase inhibitor
101,blonanserin,trt_cp,1.187,0.975,1.187,20,19,1,42,"dopamine receptor antagonist, serotonin receptor antagonist"
102,VCAN,trt_sh,1.186,-0.637,1.186,19,11,8,27,
103,SSX2,trt_sh,1.186,-1.123,1.186,13,7,6,27,
104,nicergoline,trt_cp,1.185,0.792,1.185,31,25,6,68,Adrenergic receptor antagonist
105,ATGAGGA,trt_sh.css,1.185,0.88,1.185,10,8,2,13,
106,LPHN1,trt_sh,1.182,-0.755,1.182,11,6,5,24,
107,talazoparib,trt_cp,1.182,0.9,1.182,16,12,4,42,PARP inhibitor
108,SLC1A5,trt_sh,1.181,0.794,1.181,14,12,2,27,
109,ZNF77,trt_sh,1.181,0.496,1.181,13,9,4,27,
110,HFE,trt_sh,1.181,0.851,1.181,22,17,5,42,
111,BRD-K53331454,trt_cp,1.181,0.571,1.181,10,7,3,17,
112,POU5F1,trt_oe,1.181,0.79,1.181,10,7,3,18,
113,ATP6AP1,trt_sh,1.179,0.782,1.179,10,7,3,24,
114,GLUD2,trt_sh,1.179,0.818,1.179,12,9,3,24,
115,simeprevir,trt_cp,1.178,0.168,1.178,18,12,6,41,HCV inhibitor
116,IRF1,trt_sh,1.177,0.879,1.177,12,11,1,24,
117,DECR1,trt_sh,1.177,0.857,1.177,20,19,1,43,
118,BRD-A49848186,trt_cp,1.177,1.044,1.177,10,9,1,11,
119,dexrazoxane,trt_cp,1.176,0.893,1.176,12,11,1,18,Chelating agent|Topoisomerase inhibitor
120,triprolidine,trt_cp,1.176,-0.688,1.176,13,8,5,30,Histamine receptor antagonist
121,GREB1,trt_sh,1.175,-1.065,1.175,10,5,5,24,
122,CLEC16A,trt_sh,1.175,0.508,1.175,19,13,6,30,
123,MK-8245,trt_cp,1.174,-0.763,1.174,21,11,10,42,stearoyl-CoA desaturase inhibitor
124,fillalbin,trt_cp,1.174,0.717,1.174,10,7,3,19,Increases arterial blood pressure
125,IRF4,trt_oe,1.173,0.681,1.173,13,9,4,17,
126,tyrphostin-AG-538,trt_cp,1.173,0.589,1.173,11,8,3,19,IGF-1 inhibitor
127,OVCA2,trt_sh,1.172,-0.69,1.172,10,6,4,27,
128,luliconazole,trt_cp,1.172,-0.715,1.172,20,11,9,42,sterol demethylase inhibitor
129,IRF2,trt_oe,1.172,-0.933,1.172,10,6,4,26,
130,GTF2H2,trt_sh,1.171,-0.837,1.171,12,7,5,27,
131,irinotecan,trt_cp,1.171,0.885,1.171,44,36,8,76,Topoisomerase inhibitor
132,ACTN1,trt_sh,1.171,0.78,1.171,14,10,4,27,
133,BRD-K74126469,trt_cp,1.17,0.873,1.17,10,9,1,13,
134,SEC24B,trt_sh,1.169,0.758,1.169,16,12,4,36,
135,CDC42SE1,trt_sh,1.169,0.847,1.169,11,10,1,23,
136,CASP14,trt_sh,1.169,-1.123,1.169,12,5,7,27,
137,PIM2,trt_sh,1.169,-0.815,1.169,16,10,6,32,
138,JAK2,trt_sh,1.168,-0.626,1.168,25,16,9,50,
139,BRD-K24014699,trt_cp,1.167,0.605,1.167,10,7,3,17,
140,ALAS1,trt_sh,1.166,-0.763,1.166,30,17,13,66,
141,AMD-11070,trt_cp,1.165,0.664,1.165,22,15,7,42,
142,FASTKD5,trt_sh,1.165,1.004,1.165,19,16,3,47,
143,FGB,trt_lig,1.165,0.697,1.165,12,9,3,19,
144,DUSP22,trt_sh,1.165,0.864,1.165,27,21,6,43,
145,ATP6V1A,trt_sh,1.164,-0.61,1.164,18,11,7,27,
146,palonosetron,trt_cp,1.164,0.795,1.164,23,18,5,55,Serotonin receptor antagonist
147,DNAJB1,trt_sh.cgs,1.163,0.79,1.163,10,8,2,13,
148,CHD8,trt_sh,1.162,0.687,1.162,12,11,1,27,
149,CMAS,trt_sh,1.162,-0.89,1.162,10,6,4,24,
150,LY-278584,trt_cp,1.162,-0.977,1.162,12,6,6,19,Serotonin receptor antagonist
151,GABARAPL1,trt_sh,1.161,0.815,1.161,15,12,3,27,
152,BRD-K64877338,trt_cp,1.161,0.592,1.161,13,9,4,28,
153,REEP5,trt_sh,1.161,-0.598,1.161,21,13,8,43,
154,thiotepa,trt_cp,1.161,-0.698,1.161,16,10,6,23,Cytochrome P450 inhibitor
155,binimetinib,trt_cp,1.161,0.824,1.161,14,11,3,42,MEK inhibitor
156,GNA12,trt_sh,1.16,-0.854,1.16,15,8,7,33,
157,HMGA1,trt_sh,1.16,0.997,1.16,16,14,2,33,
158,cyproterone,trt_cp,1.16,0.321,1.16,12,8,4,23,Androgen receptor antagonist
159,SMARCAD1,trt_sh,1.16,-1.109,1.16,10,5,5,27,
160,BRD-K92458042,trt_cp,1.158,0.659,1.158,11,8,3,15,
161,MYC,trt_xpr,1.158,0.833,1.158,34,27,7,77,
162,phorbol-myristate-acetate,trt_cp,1.157,0.806,1.157,30,23,7,81,PKC activator
163,MYNN,trt_sh,1.157,0.698,1.157,14,10,4,27,
164,ITGB3,trt_sh,1.157,0.817,1.157,17,14,3,27,
165,HSPA1B,trt_sh,1.156,-0.657,1.156,12,7,5,24,
166,BRD-K79779816,trt_cp,1.156,0.713,1.156,13,10,3,17,
167,NFKBIL1,trt_sh,1.156,0.572,1.156,16,11,5,27,
168,brivudine,trt_cp,1.156,0.727,1.156,16,11,5,42,DNA directed DNA polymerase inhibitor
169,HOPX,trt_sh,1.154,0.847,1.154,11,8,3,24,
170,GABBR1,trt_sh,1.153,-0.64,1.153,12,7,5,27,
171,PASD1,trt_sh,1.152,0.945,1.152,23,17,6,36,
172,acexamic-acid,trt_cp,1.152,0.731,1.152,19,15,4,42,5 alpha reductase inhibitor
173,PCDHA10,trt_sh,1.152,0.938,1.152,15,12,3,24,
174,JQ1-(+),trt_cp,1.151,-0.643,1.151,64,41,23,129,bromodomain inhibitor
175,TIMP2,trt_sh,1.151,0.658,1.151,29,20,9,66,
176,TP53BP2,trt_sh,1.151,0.68,1.151,13,10,3,26,
177,FOXA1,trt_sh,1.151,0.971,1.151,14,11,3,27,
178,PA2G4,trt_sh,1.149,0.987,1.149,11,8,3,24,
179,CDO1,trt_sh,1.149,0.788,1.149,12,10,2,27,
180,MPL,trt_sh,1.149,0.686,1.149,12,9,3,30,
181,HIST1H2BD,trt_sh,1.148,0.637,1.148,28,20,8,39,
182,ZNF462,trt_sh,1.147,0.887,1.147,13,10,3,27,
183,QS-11,trt_cp,1.147,0.674,1.147,41,34,7,65,ARFGAP inhibitor
184,PIAS4,trt_sh,1.147,0.655,1.147,14,10,4,27,
185,arofylline,trt_cp,1.145,0.909,1.145,16,13,3,42,phosphodiesterase inhibitor
186,AMPD2,trt_sh,1.145,0.222,1.145,12,8,4,27,
187,VIPR1,trt_sh,1.145,-0.729,1.145,18,10,8,27,
188,RAD54L,trt_sh,1.144,-0.464,1.144,19,12,7,33,
189,GPX7,trt_sh,1.144,0.151,1.144,12,8,4,27,
190,HMGN5,trt_sh,1.144,-0.833,1.144,11,5,6,24,
191,ZMPSTE24,trt_sh,1.144,-0.564,1.144,17,10,7,30,
192,idarubicin,trt_cp,1.143,0.668,1.143,53,38,15,105,Topoisomerase inhibitor
193,SERPINA1,trt_sh,1.143,-1.103,1.143,12,5,7,24,
194,PPP2CB,trt_sh,1.143,0.514,1.143,13,9,4,24,
195,moxidectin,trt_cp,1.143,-0.694,1.143,16,10,6,42,chloride channel antagonist
196,UFD1L,trt_sh,1.143,0.804,1.143,17,13,4,27,
197,PHF15,trt_sh,1.142,0.099,1.142,24,16,8,36,
198,GPR83,trt_sh,1.142,0.99,1.142,11,8,3,27,
199,AHRR,trt_sh,1.142,0.853,1.142,15,11,4,24,
200,HF1,trt_lig,1.142,-0.682,1.142,13,8,5,19,
201,ASAH1,trt_sh,1.141,0.774,1.141,14,10,4,27,
202,GPR137,trt_sh,1.141,-0.83,1.141,15,9,6,30,
203,NFAT5,trt_sh,1.141,0.974,1.141,12,12,0,27,
204,AHSG,trt_lig,1.141,-0.801,1.141,12,7,5,19,
205,genz-644282,trt_cp,1.14,0.823,1.14,17,16,1,39,topoisomerase inhibitor
206,SA-1921617,trt_cp,1.14,0.124,1.14,12,8,4,24,
207,TACCTGA,trt_sh.css,1.14,0.309,1.14,12,8,4,13,
208,BO2-inhibits-RAD51,trt_cp,1.139,0.661,1.139,34,24,10,59,RAD51 inhibitor
209,TXLNA,trt_sh,1.139,0.674,1.139,23,16,7,42,
210,CPB1,trt_lig,1.139,0.631,1.139,13,10,3,19,
211,LNPEP,trt_sh,1.139,-0.702,1.139,12,6,6,27,
212,DUSP3,trt_sh,1.139,0.214,1.139,12,8,4,27,
213,cinepazide,trt_cp,1.139,0.221,1.139,18,12,6,42,calcium channel activator
214,RFK,trt_sh,1.138,-0.642,1.138,12,7,5,29,
215,ZNF217,trt_sh,1.138,-0.777,1.138,14,8,6,30,
216,PPAP2B,trt_sh,1.138,-1.137,1.138,16,7,9,27,
217,MGAT4A,trt_sh,1.138,0.652,1.138,13,9,4,33,
218,ABCA3,trt_sh,1.137,-0.696,1.137,19,11,8,33,
219,LHX3,trt_sh,1.137,0.934,1.137,13,12,1,33,
220,bisindolylmaleimide-ix,trt_cp,1.137,0.829,1.137,13,11,2,21,PKC inhibitor
221,CD-437,trt_cp,1.137,0.714,1.137,40,32,8,95,Retinoid receptor agonist
222,pirarubicin,trt_cp,1.137,0.864,1.137,10,7,3,18,Topoisomerase inhibitor
223,ADSS,trt_sh,1.137,0.717,1.137,12,9,3,33,
224,STK16,trt_sh,1.136,-0.678,1.136,16,8,8,33,
225,swainsonine,trt_cp,1.136,0.765,1.136,28,19,9,42,alpha mannosidase inhibitor
226,CHIC2,trt_sh,1.136,0.832,1.136,17,13,4,33,
227,CFB,trt_sh,1.136,-0.681,1.136,16,9,7,27,
228,GLDC,trt_sh,1.135,0.747,1.135,13,9,4,23,
229,auranofin,trt_cp,1.134,-0.668,1.134,39,24,15,86,NFkB pathway inhibitor
230,TGFB2,trt_lig,1.134,-1.011,1.134,10,6,4,19,
231,SERPINC1,trt_sh,1.133,0.968,1.133,12,12,0,27,
232,sinensetin,trt_cp,1.133,-0.836,1.133,10,5,5,19,Cyclooxygenase inhibitor
233,ABCC4,trt_sh,1.133,0.612,1.133,14,10,4,30,
234,BMS-387032,trt_cp,1.133,-0.534,1.133,105,69,36,181,CDK inhibitor|Cell cycle inhibitor|MCL1 inhibitor
235,NAGPA,trt_sh,1.132,0.292,1.132,15,10,5,27,
236,L3MBTL4,trt_sh,1.131,0.814,1.131,15,12,3,24,
237,RRAGD,trt_sh,1.131,0.804,1.131,14,10,4,27,
238,LASP1,trt_sh,1.131,0.823,1.131,28,22,6,66,
239,grazoprevir,trt_cp,1.13,0.594,1.13,16,11,5,42,HCV inhibitor
240,ER-27319,trt_cp,1.13,0.572,1.13,13,9,4,18,Mediator release inhibitor|SYK inhibitor
241,MLN-2480,trt_cp,1.129,0.864,1.129,26,23,3,42,
242,QX-314,trt_cp,1.129,0.826,1.129,10,7,3,19,Sodium channel blocker
243,miltefosine,trt_cp,1.129,0.668,1.129,22,16,6,42,membrane integrity inhibitor
244,STK38L,trt_sh,1.129,-0.814,1.129,23,11,12,38,
245,BRD-K93443135,trt_cp,1.128,-0.576,1.128,10,6,4,15,
246,almorexant,trt_cp,1.128,0.235,1.128,18,12,6,42,orexin receptor antagonist
247,zosuquidar,trt_cp,1.127,0.557,1.127,23,17,6,60,P-glycoprotein inhibitor
248,rimantadine,trt_cp,1.127,0.649,1.127,33,23,10,57,Antiviral|RNA synthesis inhibitor
249,HDAC4,trt_sh,1.127,-0.757,1.127,55,31,24,108,
250,CX-516,trt_cp,1.126,-0.812,1.126,14,8,6,42,glutamate receptor modulator
251,AZD-1208,trt_cp,1.126,-0.654,1.126,21,12,9,42,
252,DNMT3A,trt_sh,1.126,0.808,1.126,18,15,3,30,
253,IDE,trt_sh,1.126,0.749,1.126,35,25,10,75,
254,BRD-K00954209,trt_cp,1.125,0.689,1.125,11,8,3,17,
255,SRRM1,trt_sh,1.125,0.738,1.125,19,15,4,42,
256,dorzolamide,trt_cp,1.125,0.764,1.125,27,22,5,46,Carbonic anhydrase inhibitor
257,BRD-A37656721,trt_cp,1.125,0.801,1.125,14,10,4,31,
258,phenelzine,trt_cp,1.124,0.522,1.124,10,7,3,27,Monoamine oxidase inhibitor
259,epirubicin,trt_cp,1.124,0.708,1.124,47,35,12,74,Topoisomerase inhibitor
260,SB-683698,trt_cp,1.124,0.778,1.124,21,16,5,42,integrin antagonist
261,ASNA1,trt_sh,1.123,-0.361,1.123,11,7,4,27,
262,TCF4,trt_sh,1.123,-0.815,1.123,22,12,10,38,
263,alizapride,trt_cp,1.123,0.84,1.123,26,22,4,46,Dopamine receptor antagonist
264,bambuterol,trt_cp,1.123,0.661,1.123,21,15,6,45,Adrenergic receptor agonist
265,GSTZ1,trt_sh,1.122,0.698,1.122,38,27,11,75,
266,inhibitor-BEC,trt_cp,1.122,0.788,1.122,33,24,9,59,Arginase inhibitor
267,IRF2,trt_sh,1.122,0.661,1.122,16,11,5,27,
268,ATP6V0A1,trt_sh,1.121,-0.675,1.121,16,10,6,27,
269,RYBP,trt_sh,1.121,-0.945,1.121,13,8,5,33,
270,LRSAM1,trt_sh,1.121,0.803,1.121,19,14,5,27,
271,KCNJ11,trt_sh,1.12,-0.619,1.12,11,6,5,27,
272,CFD,trt_sh,1.119,0.641,1.119,13,9,4,27,
273,BRD-K81795824,trt_cp,1.119,0.752,1.119,12,11,1,17,
274,NDUFB7,trt_sh,1.119,0.84,1.119,10,8,2,27,
275,P4HA2,trt_sh,1.119,-0.76,1.119,33,19,14,69,
276,AOC3,trt_sh,1.119,0.775,1.119,14,12,2,27,
277,SA-426799,trt_cp,1.117,0.813,1.117,13,9,4,18,
278,ANXA7,trt_sh,1.117,0.876,1.117,19,15,4,42,
279,RPS6KB1,trt_sh,1.117,-0.636,1.117,49,32,17,94,
280,ZNF398,trt_sh,1.117,0.785,1.117,12,9,3,27,
281,HDAC4,trt_sh.cgs,1.116,0.712,1.116,10,7,3,15,
282,GPR139,trt_sh,1.116,0.108,1.116,12,8,4,24,
283,SCARB1,trt_sh,1.116,0.159,1.116,15,10,5,42,
284,SA-1457472,trt_cp,1.115,-0.843,1.115,12,7,5,26,
285,chromomycin-a3,trt_cp,1.115,-0.753,1.115,11,5,6,15,DNA binding agent
286,HARS,trt_sh,1.115,0.834,1.115,15,12,3,27,
287,GNG8,trt_sh,1.115,-1.069,1.115,10,4,6,18,
288,BRD-A14178283,trt_cp,1.115,-0.834,1.115,10,5,5,17,
289,PCSK9,trt_sh,1.114,0.758,1.114,13,9,4,27,
290,MRGPRX4,trt_sh,1.114,0.887,1.114,13,9,4,27,
291,Gossypetin,trt_cp,1.114,0.727,1.114,23,18,5,54,DNA methyltransferase inhibitor
292,BRD-K76999748,trt_cp,1.113,0.128,1.113,12,8,4,17,
293,MAPK12,trt_sh,1.113,0.587,1.113,16,11,5,32,
294,GNB1,trt_sh,1.113,0.979,1.113,18,15,3,27,
295,CFTR,trt_sh,1.113,-0.227,1.113,14,9,5,27,
296,CELSR2,trt_sh,1.112,0.92,1.112,16,15,1,27,
297,CEBPZ,trt_sh.cgs,1.112,0.853,1.112,10,9,1,10,
298,PAC-1,trt_cp,1.112,-0.322,1.112,35,23,12,74,Caspase activator
299,STK-661558,trt_cp,1.112,0.244,1.112,15,10,5,30,
300,ZNF432,trt_sh,1.112,-0.964,1.112,11,6,5,24,
301,7b-cis,trt_cp,1.111,-0.586,1.111,29,18,11,59,Exportin antagonist
302,KLF14,trt_sh,1.111,0.057,1.111,15,10,5,27,
303,TGFBR3,trt_lig,1.111,-0.638,1.111,10,5,5,19,
304,cerulenin,trt_cp,1.111,0.505,1.111,39,27,12,73,Fatty acid synthase inhibitor
305,MAFG,trt_sh,1.111,-0.745,1.111,21,11,10,27,
306,CREBBP,trt_sh,1.111,0.581,1.111,22,16,6,41,
307,TTK,trt_sh,1.11,-0.699,1.11,22,14,8,43,
308,diethylcarbamazine,trt_cp,1.11,-0.699,1.11,39,25,14,68,Lipoxygenase inhibitor
309,ZBED1,trt_sh,1.11,0.258,1.11,15,10,5,27,
310,UBE2N,trt_sh,1.11,0.933,1.11,11,9,2,27,
311,CAPNS2,trt_sh,1.11,0.465,1.11,10,7,3,23,
312,PRKX,trt_sh,1.11,-0.606,1.11,16,10,6,32,
313,parthenolide,trt_cp,1.11,0.727,1.11,79,58,21,174,NFkB pathway inhibitor
314,granisetron,trt_cp,1.11,-0.812,1.11,32,20,12,59,Serotonin receptor antagonist
315,EPRS,trt_sh,1.109,-0.673,1.109,37,23,14,72,
316,fentiazac,trt_cp,1.109,0.842,1.109,18,13,5,45,Cyclooxygenase inhibitor
317,BRD-K40300908,trt_cp,1.109,-0.696,1.109,10,6,4,18,
318,BMY-45778,trt_cp,1.108,1.028,1.108,10,9,1,15,IP1 prostacyclin receptor agonist
319,CBFA2T3,trt_sh,1.108,-0.792,1.108,14,8,6,24,
320,devazepide,trt_cp,1.108,-0.285,1.108,14,9,5,19,CCK receptor antagonist
321,PBX4,trt_sh,1.108,0.606,1.108,12,9,3,27,
322,XMD-892,trt_cp,1.107,0.77,1.107,101,74,27,179,MAP kinase inhibitor
323,PMAIP1,trt_sh,1.107,-0.713,1.107,16,8,8,33,
324,SPRY4,trt_sh,1.107,0.886,1.107,12,10,2,27,
325,HC-toxin,trt_cp,1.107,0.918,1.107,20,16,4,26,HDAC inhibitor
326,Z160,trt_cp,1.107,-0.869,1.107,16,7,9,42,N-type calcium channel blocker
327,vortioxetine,trt_cp,1.107,0.893,1.107,23,19,4,42,"serotonin receptor agonist, serotonin receptor antagonist"
328,CB-10-277-(free-acid),trt_cp,1.107,0.933,1.107,21,17,4,42,
329,danegaptide,trt_cp,1.107,0.744,1.107,22,16,6,42,gap junction modulator
330,ST-4039884,trt_cp,1.106,0.88,1.106,11,8,3,17,
331,ATP1A1,trt_sh,1.105,-0.873,1.105,12,7,5,33,
332,APEX1,trt_sh,1.104,0.777,1.104,15,14,1,27,
333,acetyl-geranyl-cysteine,trt_cp,1.104,-0.266,1.104,14,9,5,24,Isoprenylated protein methylation inhibitor
334,SKF-86002,trt_cp,1.104,-1.002,1.104,10,5,5,19,P38 MAPK inhibitor
335,bitopertin,trt_cp,1.104,-0.871,1.104,20,10,10,42,glycine transporter inhibitor
336,voglibose,trt_cp,1.104,0.878,1.104,25,22,3,42,glucosidase inhibitor
337,RAD51,trt_sh,1.104,0.872,1.104,19,14,5,33,
338,LGALS1,trt_sh,1.103,0.933,1.103,17,13,4,27,
339,FADD,trt_sh,1.103,0.739,1.103,55,41,14,87,
340,SA-1919875,trt_cp,1.102,0.743,1.102,12,9,3,17,
341,CREBL2,trt_sh,1.102,0.921,1.102,11,8,3,30,
342,S100Z,trt_sh,1.101,-0.889,1.101,13,7,6,27,
343,SR-27897,trt_cp,1.101,0.712,1.101,31,22,9,61,CCK receptor antagonist
344,daunorubicin,trt_cp,1.1,0.693,1.1,95,69,26,171,RNA synthesis inhibitor|Topoisomerase inhibitor
345,PACSIN3,trt_sh,1.1,-0.722,1.1,23,13,10,41,
346,RPS10,trt_sh,1.1,0.824,1.1,19,17,2,27,
347,BRD-K42644990,trt_cp,1.1,0.731,1.1,10,7,3,17,
348,TINF2,trt_xpr,1.1,0.69,1.1,29,21,8,77,
349,BI-2536,trt_cp,1.1,0.749,1.1,204,154,50,409,PLK inhibitor
350,idasanutlin,trt_cp,1.099,0.596,1.099,20,15,5,42,MDM inhibitor
