,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
33,MRGPRX4,trt_sh,1.264,0.822,1.264,11,11,0,27,
34,ZBTB5,trt_sh,1.264,1.056,1.264,12,10,2,33,
35,BRD-A74382794,trt_cp,1.261,0.861,1.261,13,11,2,28,
36,HCAR1,trt_sh,1.26,-0.915,1.26,15,9,6,27,
37,HTATSF1,trt_sh,1.259,0.864,1.259,16,15,1,39,
38,CRY1,trt_sh,1.258,0.809,1.258,19,14,5,35,
39,EED,trt_sh,1.258,1.035,1.258,16,13,3,35,
40,PTPRK,trt_sh,1.256,0.619,1.256,12,9,3,36,
41,STAT2,trt_sh,1.254,0.657,1.254,13,9,4,27,
42,PF-04691502,trt_cp,1.254,1.091,1.254,20,20,0,42,"mTOR inhibitor, PI3K inhibitor"
43,SA-427137,trt_cp,1.25,0.946,1.25,10,9,1,12,
44,exifone,trt_cp,1.249,0.668,1.249,11,8,3,21,Nootropic agent
45,SLC38A3,trt_sh,1.249,0.977,1.249,10,7,3,27,
46,RALA,trt_sh,1.248,0.934,1.248,13,11,2,33,
47,CERS4,trt_sh,1.246,0.782,1.246,15,13,2,27,
48,EPN2,trt_sh,1.246,0.804,1.246,16,12,4,42,
49,SC-560,trt_cp,1.246,-0.722,1.246,10,6,4,19,Cyclooxygenase inhibitor
50,NOV,trt_sh,1.24,0.96,1.24,10,8,2,27,
51,FKBP14,trt_sh,1.237,0.669,1.237,16,12,4,33,
52,PDGFB,trt_lig,1.235,0.747,1.235,10,7,3,19,
53,MAPK7,trt_sh,1.235,0.497,1.235,10,7,3,18,
54,MMP7,trt_sh,1.234,0.817,1.234,12,9,3,27,
55,IL1R2,trt_sh,1.233,0.916,1.233,13,11,2,27,
56,pomalidomide,trt_cp,1.232,0.925,1.232,14,10,4,42,"angiogenesis inhibitor, tumor necrosis factor production inhibitor"
57,ADNP2,trt_sh,1.232,-0.874,1.232,11,6,5,33,
58,CPT1A,trt_sh,1.231,0.83,1.231,11,9,2,27,
59,ZNF274,trt_sh,1.229,0.109,1.229,15,10,5,36,
60,ITGB1,trt_sh,1.227,0.86,1.227,14,11,3,27,
61,F10,trt_sh,1.226,-0.689,1.226,19,12,7,27,
62,CCNG2,trt_sh,1.225,-0.259,1.225,17,11,6,27,
63,LCN2,trt_lig,1.224,-0.727,1.224,10,6,4,19,
64,IRF7,trt_sh,1.224,0.92,1.224,11,9,2,27,
65,BRD-K19181733,trt_cp,1.224,0.289,1.224,12,8,4,17,
66,GPR4,trt_sh,1.22,-1.083,1.22,10,5,5,24,
67,SNX17,trt_sh,1.215,0.644,1.215,20,15,5,36,
68,PIK3C3,trt_sh,1.215,0.976,1.215,20,18,2,37,
69,TINF2,trt_sh,1.215,-0.204,1.215,14,9,5,54,
70,diphenidol,trt_cp,1.215,0.943,1.215,24,20,4,64,Acetylcholine receptor agonist
71,PBXIP1,trt_sh,1.215,0.697,1.215,17,12,5,27,
72,MLL3,trt_sh,1.214,0.964,1.214,18,15,3,32,
73,MTR,trt_sh,1.214,-0.781,1.214,12,7,5,27,
74,CD46,trt_sh,1.213,-0.247,1.213,11,7,4,27,
75,DFNB31,trt_sh,1.212,0.75,1.212,24,18,6,36,
76,GR-32191,trt_cp,1.211,-0.784,1.211,12,7,5,19,Thromboxane receptor antagonist
77,fluoropyruvate,trt_cp,1.211,0.88,1.211,34,27,7,95,Pyruvate dehydrogenase inhibitor
78,KLF4,trt_sh,1.21,1.017,1.21,12,10,2,24,
79,PTPN12,trt_sh,1.21,0.936,1.21,105,93,12,231,
80,BMP2,trt_sh,1.21,0.966,1.21,18,16,2,35,
81,NRBF2,trt_sh,1.209,0.803,1.209,13,12,1,27,
82,EPOR,trt_sh,1.209,-0.81,1.209,10,5,5,27,
83,BRD-K51973945,trt_cp,1.209,0.678,1.209,10,7,3,15,
84,ZAP70,trt_sh,1.208,-0.581,1.208,16,10,6,43,
85,PLD2,trt_sh,1.208,0.879,1.208,13,12,1,27,
86,OTUD3,trt_sh,1.207,0.829,1.207,18,14,4,33,
87,LY-2090314,trt_cp,1.206,0.943,1.206,21,19,2,42,
88,SA-103006,trt_cp,1.206,0.864,1.206,12,10,2,29,
89,ADSS,trt_sh,1.205,1.074,1.205,16,16,0,33,
90,PCGF1,trt_sh,1.205,0.884,1.205,13,11,2,27,
91,U-46619,trt_cp,1.205,-0.606,1.205,10,6,4,19,Thromboxane receptor agonist
92,BRD-K65411918,trt_cp,1.205,1.055,1.205,10,10,0,24,
93,KB188-III-56,trt_cp,1.204,0.663,1.204,11,8,3,17,
94,lidocaine,trt_cp,1.204,0.724,1.204,32,25,7,71,Histamine receptor agonist
95,torin-1,trt_cp,1.203,0.961,1.203,120,106,14,252,MTOR inhibitor|PI3K inhibitor
96,WYE-125132,trt_cp,1.203,0.991,1.203,80,73,7,204,MTOR inhibitor
97,avanafil,trt_cp,1.202,0.799,1.202,19,16,3,42,phosphodiesterase inhibitor
98,GABPB1,trt_sh,1.201,-0.642,1.201,10,5,5,36,
99,IRF3,trt_sh,1.2,0.672,1.2,11,8,3,27,
100,MCCC2,trt_sh,1.198,0.463,1.198,13,9,4,27,
101,OSI-027,trt_cp,1.197,0.947,1.197,103,93,10,219,MTOR inhibitor
102,GDC-0068,trt_cp,1.196,0.605,1.196,79,55,24,174,AKT inhibitor
103,valyltryptophan,trt_cp,1.195,0.747,1.195,10,7,3,19,
104,SLC7A1,trt_sh,1.194,0.768,1.194,14,11,3,27,
105,PRDM1,trt_sh,1.194,0.697,1.194,13,9,4,41,
106,JX-401,trt_cp,1.193,0.643,1.193,13,9,4,25,P38 MAPK inhibitor
107,A2M,trt_sh,1.192,0.894,1.192,14,13,1,24,
108,berberine,trt_cp,1.19,0.911,1.19,21,17,4,42,LDL receptor activator
109,alpelisib,trt_cp,1.19,0.664,1.19,51,35,16,120,PI3K inhibitor
110,AZD-8055,trt_cp,1.19,0.82,1.19,83,61,22,240,MTOR inhibitor
111,alvespimycin,trt_cp,1.189,0.978,1.189,33,30,3,84,HSP inhibitor
112,SA-94315,trt_cp,1.189,-0.755,1.189,10,6,4,25,Caspase inhibitor
113,etamivan,trt_cp,1.188,0.898,1.188,13,12,1,27,Respiratory stimulant
114,MAPKAPK2,trt_sh,1.188,0.146,1.188,12,8,4,38,
115,BRD-K77690805,trt_cp,1.186,0.909,1.186,12,11,1,28,Pyruvate kinase isozyme activator
116,SERPINH1,trt_sh,1.185,-0.864,1.185,12,7,5,27,
117,HSPA1B,trt_sh,1.185,-1.017,1.185,11,6,5,24,
118,ZNF133,trt_sh,1.182,1.085,1.182,12,11,1,27,
119,domperidone,trt_cp,1.182,0.903,1.182,11,8,3,23,Dopamine receptor antagonist
120,NPBWR1,trt_sh,1.18,-0.697,1.18,13,7,6,27,
121,KREMEN1,trt_sh,1.179,-0.957,1.179,15,8,7,27,
122,SATB1,trt_sh,1.177,0.959,1.177,11,10,1,27,
123,FBXO11,trt_sh,1.176,0.844,1.176,16,13,3,42,
124,SLC36A4,trt_sh,1.176,-0.247,1.176,17,11,6,27,
125,pemirolast,trt_cp,1.175,-0.712,1.175,13,8,5,42,mediator release inhibitor
126,PIN1,trt_sh,1.175,-0.675,1.175,40,26,14,69,
127,GPR158,trt_sh,1.174,0.603,1.174,11,8,3,27,
128,CTLA4,trt_sh,1.173,0.843,1.173,22,18,4,54,
129,E2F6,trt_sh,1.173,0.987,1.173,12,10,2,30,
130,BRD2,trt_sh,1.172,0.968,1.172,13,10,3,31,
131,RPIA,trt_sh,1.172,0.463,1.172,34,23,11,66,
132,SKP1,trt_sh,1.172,-0.502,1.172,11,7,4,27,
133,FOXF2,trt_sh,1.172,0.615,1.172,10,7,3,27,
134,APOE,trt_sh,1.171,-0.894,1.171,16,8,8,27,
135,dolasetron,trt_cp,1.171,-0.577,1.171,25,16,9,59,Serotonin receptor antagonist
136,MGLL,trt_sh,1.171,-0.114,1.171,14,9,5,33,
137,NR1D2,trt_sh,1.171,0.725,1.171,10,8,2,33,
138,taurocholic-acid,trt_cp,1.17,-0.297,1.17,14,9,5,24,Bile acid
139,ZNF586,trt_sh,1.168,0.836,1.168,20,17,3,44,
140,TYMS,trt_sh,1.168,0.019,1.168,12,8,4,33,
141,ZSTK-474,trt_cp,1.168,0.804,1.168,80,65,15,221,PI3K inhibitor
142,CAT,trt_sh,1.167,-0.695,1.167,34,21,13,72,
143,gavestinel,trt_cp,1.164,-0.188,1.164,11,7,4,19,Glutamate receptor antagonist
144,SIX2,trt_sh,1.164,0.761,1.164,13,9,4,26,
145,MBX-2982,trt_cp,1.162,0.889,1.162,20,18,2,42,glucose dependent insulinotropic receptor agonist
146,MK-3207,trt_cp,1.162,-0.585,1.162,17,10,7,42,calcitonin antagonist
147,ketorolac,trt_cp,1.161,0.634,1.161,42,29,13,80,Cyclooxygenase inhibitor
148,TFRC,trt_sh,1.16,-0.855,1.16,13,5,8,33,
149,BRD-K16300438,trt_cp,1.159,0.87,1.159,14,12,2,28,
150,vismodegib,trt_cp,1.157,0.735,1.157,15,12,3,42,"hedgehog pathway inhibitor, smoothened receptor antagonist"
151,CALM2,trt_sh,1.157,0.81,1.157,15,11,4,42,
152,NAGPA,trt_sh,1.157,-0.638,1.157,10,6,4,27,
153,guanfacine,trt_cp,1.157,0.855,1.157,12,10,2,23,Adrenergic receptor agonist
154,PEBP1,trt_sh,1.156,0.864,1.156,18,16,2,27,
155,LBR,trt_sh,1.156,0.89,1.156,28,23,5,42,
156,PNU-120596,trt_cp,1.156,0.63,1.156,11,8,3,19,Acetylcholine receptor agonist
157,ASF1B,trt_sh,1.155,1.04,1.155,10,10,0,24,
158,CERK,trt_sh,1.155,-0.757,1.155,44,24,20,82,
159,TH02453-036-P1,trt_cp,1.155,0.878,1.155,33,26,7,76,
160,FOXO1,trt_sh,1.154,0.747,1.154,25,18,7,49,
161,FTH1,trt_sh,1.153,-0.772,1.153,13,7,6,27,
162,isoniazid,trt_cp,1.153,0.679,1.153,22,16,6,45,Enoyl-(acyl-carrier protein) reductase Fabl inhibitor
163,MW-SHH-98,trt_cp,1.152,0.695,1.152,37,27,10,101,Hedgehog pathway modulator
164,methyllycaconitine,trt_cp,1.152,0.582,1.152,11,8,3,19,Acetylcholine receptor antagonist
165,ZNF296,trt_sh,1.152,0.947,1.152,10,7,3,26,
166,TAL2,trt_sh,1.152,0.771,1.152,10,7,3,27,
167,DLGAP5,trt_sh,1.151,0.658,1.151,13,10,3,35,
168,NAT10,trt_sh,1.151,0.576,1.151,13,9,4,27,
169,IDH1,trt_sh,1.151,0.207,1.151,12,8,4,35,
170,PTPN22,trt_sh,1.151,-0.878,1.151,12,6,6,33,
171,RS-67333,trt_cp,1.15,0.709,1.15,10,7,3,19,Serotonin receptor partial agonist
172,POLR1A,trt_sh,1.15,0.75,1.15,15,12,3,27,
173,UTMB-00042,trt_cp,1.149,0.788,1.149,12,9,3,28,
174,SERPINA6,trt_sh,1.149,0.752,1.149,13,9,4,24,
175,PIAS3,trt_sh,1.149,0.873,1.149,11,10,1,27,
176,"hydrastine-(1r,-9s)",trt_cp,1.148,-0.638,1.148,10,6,4,19,Tyrosine hydroxylase inhibitor
177,CFD,trt_sh,1.148,0.854,1.148,10,9,1,27,
178,ERO1L,trt_sh,1.148,0.922,1.148,13,10,3,27,
179,esculin,trt_cp,1.147,0.62,1.147,30,21,9,61,Antioxidant
180,DNA2,trt_sh,1.147,0.804,1.147,24,21,3,56,
181,COASY,trt_sh,1.147,0.779,1.147,46,35,11,71,
182,HDAC3,trt_xpr,1.146,0.455,1.146,31,21,10,66,
183,BRF2,trt_sh,1.146,0.827,1.146,14,10,4,24,
184,ITGB4,trt_sh,1.146,0.812,1.146,13,10,3,27,
185,alda-1,trt_cp,1.146,0.752,1.146,25,21,4,59,Aldehyde dehydrogenase activator
186,WIPF2,trt_sh,1.146,0.632,1.146,13,9,4,39,
187,CSNK1A1L,trt_sh,1.145,-0.503,1.145,13,8,5,37,
188,GSK-2334470,trt_cp,1.145,0.758,1.145,81,58,23,173,Pyruvate dehydrogenase kinase inhibitor
189,LAGE3,trt_sh,1.145,0.804,1.145,19,15,4,42,
190,TNFSF10,trt_sh,1.145,0.834,1.145,14,12,2,27,
191,ZFP28,trt_sh,1.144,-0.879,1.144,12,6,6,27,
192,CACNA1C,trt_sh,1.144,0.881,1.144,15,13,2,39,
193,MAMLD1,trt_sh,1.144,-0.888,1.144,18,10,8,39,
194,BRD-K84677391,trt_cp,1.144,0.952,1.144,10,9,1,17,
195,PRKAB1,trt_sh,1.144,-0.031,1.144,11,7,4,27,
196,YWHAH,trt_sh,1.143,-0.207,1.143,17,11,6,33,
197,SUOX,trt_sh,1.143,0.906,1.143,13,12,1,32,
198,P2RY6,trt_sh,1.143,0.177,1.143,12,8,4,27,
199,EHF,trt_sh,1.143,-0.714,1.143,12,7,5,27,
200,PIM2,trt_sh,1.142,-0.839,1.142,19,11,8,32,
201,SSX2,trt_sh,1.142,0.662,1.142,11,8,3,27,
202,exalamide,trt_cp,1.142,0.722,1.142,16,11,5,42,membrane permeability inhibitor
203,CLOCK,trt_sh,1.142,0.804,1.142,13,11,2,35,
204,S100A1,trt_sh,1.142,-0.999,1.142,10,4,6,24,
205,SERPINB2,trt_sh,1.142,-0.675,1.142,16,10,6,27,
206,ERCC4,trt_sh,1.142,0.973,1.142,10,9,1,27,
207,CDH3,trt_sh,1.141,-1.054,1.141,17,9,8,36,
208,SP3,trt_sh,1.141,0.655,1.141,12,9,3,33,
209,BUB1B,trt_sh,1.141,-0.562,1.141,33,21,12,89,
210,EIF4G1,trt_sh,1.141,0.14,1.141,12,8,4,33,
211,QL-X-138,trt_cp,1.14,0.829,1.14,91,73,18,204,MTOR inhibitor
212,triacsin-c,trt_cp,1.14,-0.327,1.14,20,13,7,59,Adrenergic receptor antagonist
213,SIAH2,trt_sh,1.14,0.768,1.14,15,13,2,33,
214,PIGA,trt_sh,1.139,0.934,1.139,12,10,2,24,
215,BRD-K10436544,trt_cp,1.139,0.683,1.139,38,28,10,96,
216,BRD-K16956545,trt_cp,1.139,0.801,1.139,33,25,8,64,
217,TRIO,trt_sh,1.139,-0.716,1.139,18,11,7,37,
218,ABT-202,trt_cp,1.139,0.842,1.139,18,15,3,42,acetylcholine receptor agonist
219,GLRX2,trt_sh,1.138,-0.794,1.138,11,6,5,27,
220,RPL7,trt_sh,1.138,-0.729,1.138,11,6,5,27,
221,everolimus,trt_cp,1.138,0.669,1.138,80,57,23,197,MTOR inhibitor
222,pgw,ctl_vector,1.138,0.801,1.138,81,62,19,236,
223,TUL_XX087,trt_cp,1.137,0.811,1.137,12,9,3,32,
224,cevimeline,trt_cp,1.136,0.817,1.136,19,16,3,42,acetylcholine receptor agonist
225,zacopride,trt_cp,1.136,-0.799,1.136,15,8,7,32,Serotonin receptor antagonist
226,CYP1B1,trt_sh,1.135,-0.753,1.135,11,6,5,33,
227,UBE2N,trt_sh,1.135,0.982,1.135,10,9,1,27,
228,NARS,trt_sh,1.135,-0.302,1.135,14,9,5,24,
229,HOXB13,trt_sh,1.134,-0.893,1.134,14,8,6,24,
230,POLRMT,trt_sh,1.134,0.063,1.134,12,8,4,24,
231,SLC12A7,trt_sh,1.133,-0.277,1.133,11,7,4,24,
232,SSX3,trt_sh,1.133,0.886,1.133,16,12,4,24,
233,BRD-K33676730,trt_cp,1.133,-0.666,1.133,10,6,4,17,
234,KCNN4,trt_sh,1.132,0.638,1.132,14,10,4,27,
235,WDTC1,trt_sh,1.132,-0.966,1.132,13,7,6,39,
236,I-070754,trt_cp,1.132,0.621,1.132,10,7,3,17,
237,PSPN,trt_lig,1.131,0.655,1.131,11,9,2,19,
238,RRAGD,trt_sh,1.131,0.87,1.131,14,11,3,27,
239,arofylline,trt_cp,1.131,0.283,1.131,15,10,5,42,phosphodiesterase inhibitor
240,bambuterol,trt_cp,1.131,0.844,1.131,23,21,2,45,Adrenergic receptor agonist
241,MYO10,trt_sh,1.131,0.709,1.131,14,10,4,42,
242,IL11,trt_sh,1.13,0.973,1.13,11,9,2,27,
243,PIK3C2A,trt_sh,1.13,-0.755,1.13,54,35,19,149,
244,ZNF543,trt_sh,1.13,0.682,1.13,13,10,3,24,
245,cyclobenzaprine,trt_cp,1.13,0.89,1.13,24,21,3,46,Adrenergic receptor agonist|Serotonin receptor agonist
246,luliconazole,trt_cp,1.129,0.645,1.129,20,14,6,42,sterol demethylase inhibitor
247,KCNG1,trt_sh,1.129,-0.85,1.129,15,7,8,33,
248,AHRR,trt_sh,1.129,0.953,1.129,14,12,2,24,
249,triprolidine,trt_cp,1.129,0.523,1.129,16,11,5,30,Histamine receptor antagonist
250,YM-298198,trt_cp,1.129,0.72,1.129,18,13,5,40,Glutamate receptor antagonist
251,SUB1,trt_sh,1.129,-0.929,1.129,18,9,9,27,
252,IFIH1,trt_sh,1.129,0.593,1.129,13,9,4,33,
253,IL6,trt_sh,1.128,0.817,1.128,17,13,4,33,
254,ST6GALNAC2,trt_sh,1.128,0.808,1.128,21,17,4,43,
255,AIFM1,trt_sh,1.128,0.854,1.128,10,10,0,27,
256,PPP2R5B,trt_sh,1.128,-0.559,1.128,16,10,6,36,
257,argatroban,trt_cp,1.127,-0.778,1.127,25,14,11,57,Thrombin inhibitor
258,PAK3,trt_sh,1.127,0.584,1.127,19,13,6,33,
259,HSPA1A,trt_sh,1.127,-0.696,1.127,15,9,6,27,
260,ZNF585A,trt_sh,1.127,0.252,1.127,15,10,5,27,
261,MDL-11939,trt_cp,1.126,-0.88,1.126,13,6,7,15,Serotonin receptor antagonist
262,thiotepa,trt_cp,1.126,-0.624,1.126,10,6,4,23,Cytochrome P450 inhibitor
263,bemegride,trt_cp,1.126,0.792,1.126,27,20,7,65,Chemoreceptor agonist
264,HSD17B2,trt_sh,1.126,-0.387,1.126,11,7,4,24,
265,EXT1,trt_sh,1.126,0.718,1.126,67,46,21,139,
266,BIIB-021,trt_cp,1.126,0.838,1.126,45,38,7,59,HSP inhibitor
267,RDX,trt_sh,1.124,-0.681,1.124,18,11,7,27,
268,MMP1,trt_sh,1.124,0.924,1.124,14,12,2,24,
269,PTGER4,trt_sh,1.123,-0.738,1.123,14,7,7,33,
270,WY-01-034,trt_cp,1.123,0.772,1.123,35,27,8,101,
271,AT-13387,trt_cp,1.123,0.826,1.123,23,19,4,42,
272,RAD1,trt_sh,1.122,0.455,1.122,16,11,5,33,
273,GDC-0941,trt_cp,1.122,0.757,1.122,91,65,26,264,PI3K inhibitor
274,RHO-kinase-inhibitor-III[rockout],trt_cp,1.122,-0.685,1.122,46,28,18,107,Rho associated kinase inhibitor
275,BMP7,trt_lig,1.122,0.71,1.122,11,9,2,19,
276,TXNIP,trt_sh,1.122,-0.616,1.122,13,8,5,33,
277,LAMB1,trt_sh,1.121,0.867,1.121,21,16,5,41,
278,PITPNA,trt_sh,1.121,-0.651,1.121,12,6,6,24,
279,guaifenesin,trt_cp,1.121,0.965,1.121,11,9,2,19,Expectorant
280,POLQ,trt_sh,1.121,0.876,1.121,13,11,2,33,
281,epoxycholesterol,trt_cp,1.121,0.997,1.121,12,10,2,24,LXR agonist
282,SERTAD3,trt_sh,1.12,0.849,1.12,22,18,4,36,
283,MCOLN1,trt_sh,1.12,0.645,1.12,16,11,5,33,
284,RBBP4,trt_sh,1.12,-0.33,1.12,17,11,6,33,
285,procaterol,trt_cp,1.12,-0.973,1.12,11,6,5,27,Adrenergic receptor agonist
286,F3,trt_oe,1.12,0.92,1.12,10,9,1,17,
287,C2,trt_sh,1.12,0.906,1.12,10,7,3,27,
288,TXNRD1,trt_sh,1.119,-0.79,1.119,34,20,14,75,
289,SR-33805,trt_cp,1.119,0.926,1.119,16,13,3,42,calcium channel blocker
290,LMO4,trt_sh,1.119,-0.692,1.119,13,8,5,26,
291,NVP-BEZ235,trt_cp,1.119,0.871,1.119,78,65,13,263,MTOR inhibitor|PI3K inhibitor
292,BRD-K08447949,trt_cp,1.119,0.809,1.119,11,8,3,12,
293,VX-661,trt_cp,1.118,0.734,1.118,18,14,4,42,
294,mepazine,trt_cp,1.118,-0.796,1.118,14,7,7,42,MALT1 inhibitor (JH)
295,MLN-0128,trt_cp,1.118,0.938,1.118,62,59,3,173,
296,MCHR2,trt_sh,1.118,0.834,1.118,11,9,2,27,
297,desoxypeganine,trt_cp,1.118,0.59,1.118,33,23,10,65,Acetylcholinesterase inhibitor|Monoamine oxidase inhibitor
298,honokiol,trt_cp,1.118,-0.753,1.118,23,13,10,53,AKT inhibitor
299,SH2B3,trt_sh,1.117,0.208,1.117,12,8,4,38,
300,pergolide,trt_cp,1.117,-0.898,1.117,17,9,8,37,Dopamine receptor agonist
301,ZNF195,trt_sh,1.117,0.152,1.117,12,8,4,24,
302,CETN2,trt_sh,1.117,-0.573,1.117,16,10,6,24,
303,TGGATGA,trt_sh.css,1.116,0.918,1.116,10,9,1,14,
304,RIPK3,trt_sh,1.116,-0.909,1.116,15,7,8,32,
305,sertaconazole,trt_cp,1.116,0.664,1.116,35,24,11,65,Sterol demethylase inhibitor
306,PGM1,trt_sh,1.116,0.871,1.116,44,38,6,76,
307,GSK-2126458,trt_cp,1.116,0.362,1.116,64,43,21,186,PI3K inhibitor|MTOR inhibitor
308,tioguanine,trt_cp,1.116,0.736,1.116,15,11,4,45,Purine antagonist
309,BL-050,trt_cp,1.116,0.812,1.116,11,8,3,24,
310,ELF3,trt_sh,1.115,-0.817,1.115,13,8,5,32,
311,TH-302,trt_cp,1.115,0.832,1.115,22,19,3,42,DNA alkylating agent
312,CXCL5,trt_lig,1.115,-0.76,1.115,10,4,6,19,
313,RUNX1,trt_sh,1.114,0.822,1.114,29,22,7,60,
314,BRD-A93015352,trt_cp,1.114,-0.91,1.114,11,6,5,17,
315,pilaralisib,trt_cp,1.113,0.799,1.113,14,11,3,42,PI3K inhibitor
316,FAM3C,trt_sh,1.113,0.806,1.113,20,16,4,39,
317,tecastemizole,trt_cp,1.113,-0.732,1.113,17,10,7,42,histamine receptor antagonist
318,ganetespib,trt_cp,1.113,0.966,1.113,27,24,3,42,HSP inhibitor
319,carprofen,trt_cp,1.112,0.785,1.112,29,25,4,65,Cyclooxygenase inhibitor
320,NDFIP1,trt_sh,1.112,-0.978,1.112,15,9,6,33,
321,RBP4,trt_sh,1.111,0.732,1.111,11,8,3,27,
322,cerulenin,trt_cp,1.111,0.743,1.111,29,20,9,73,Fatty acid synthase inhibitor
323,PNP,trt_sh,1.111,0.64,1.111,29,20,9,66,
324,immethridine,trt_cp,1.111,0.79,1.111,12,10,2,23,Histamine receptor agonist
325,ixazomib,trt_cp,1.111,0.729,1.111,49,34,15,112,Proteasome inhibitor
326,PYGL,trt_sh,1.111,-0.655,1.111,15,9,6,33,
327,betamethasone-acetate,trt_cp,1.11,0.869,1.11,10,8,2,23,Glucocorticoid receptor agonist
328,CNOT4,trt_sh,1.11,-0.343,1.11,20,13,7,43,
329,pranlukast,trt_cp,1.11,-0.201,1.11,20,13,7,46,Leukotriene receptor antagonist
330,INS,trt_sh,1.11,0.713,1.11,12,9,3,33,
331,cinoxacin,trt_cp,1.11,0.952,1.11,24,19,5,42,topoisomerase inhibitor
332,NAB2,trt_sh,1.109,-0.815,1.109,11,6,5,24,
333,ZNF266,trt_sh,1.109,0.788,1.109,11,9,2,27,
334,PCK2,trt_sh,1.109,-0.823,1.109,38,22,16,80,
335,rociletinib,trt_cp,1.109,0.191,1.109,18,12,6,42,EGFR inhibitor
336,VT-464,trt_cp,1.109,-0.607,1.109,18,11,7,42,cytochrome P450 inhibitor
337,GPX3,trt_sh,1.109,0.914,1.109,16,12,4,27,
338,prednisolone,trt_cp,1.109,0.972,1.109,10,7,3,29,Glucocorticoid receptor agonist
339,TMED7,trt_sh,1.109,0.681,1.109,12,9,3,27,
340,BRD-K04156788,trt_cp,1.108,0.559,1.108,13,9,4,32,
341,iopanoic-acid,trt_cp,1.108,0.843,1.108,14,10,4,27,Radiopaque medium
342,amrinone,trt_cp,1.107,0.76,1.107,23,16,7,42,phosphodiesterase inhibitor
343,DNPEP,trt_sh,1.107,0.282,1.107,12,8,4,27,
344,ALW-II-38-3,trt_cp,1.107,0.751,1.107,87,67,20,179,Ephrin inhibitor
345,ZNF331,trt_sh,1.107,0.45,1.107,16,11,5,33,
346,FZD6,trt_sh,1.107,0.772,1.107,12,9,3,24,
347,DFFA,trt_sh,1.107,0.774,1.107,14,12,2,27,
348,NDUFS4,trt_sh,1.106,0.611,1.106,10,7,3,27,
349,GAS7,trt_sh,1.106,-0.225,1.106,14,9,5,27,
350,tasquinimod,trt_cp,1.106,0.599,1.106,25,17,8,42,"angiogenesis inhibitor, S100A9 inhibitor"
351,PBK,trt_sh,1.106,-0.629,1.106,13,8,5,32,
352,TRIM2,trt_sh,1.106,0.241,1.106,18,12,6,42,
353,BRD-K95149906,trt_cp,1.105,0.792,1.105,12,9,3,28,
354,SA-103123,trt_cp,1.105,-0.708,1.105,11,6,5,25,
355,MPL,trt_sh,1.105,-0.816,1.105,13,7,6,30,
356,LHX9,trt_sh,1.105,-0.868,1.105,12,5,7,27,
