,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
84,CAPNS2,trt_sh,1.226,-0.684,1.226,12,7,5,23,
85,BRD-K59470558,trt_cp,1.224,0.831,1.224,23,17,6,71,
86,EMF-bca1-16,trt_cp,1.224,0.985,1.224,10,10,0,24,
87,piperlongumine,trt_cp,1.221,0.817,1.221,38,29,9,126,Glutathione transferase inhibitor
88,ARHGEF5,trt_sh,1.221,0.862,1.221,27,26,1,71,
89,LPAR2,trt_sh,1.22,-0.907,1.22,12,6,6,33,
90,ERH,trt_sh,1.219,-0.349,1.219,11,7,4,27,
91,STAT5B,trt_sh,1.219,1.026,1.219,12,9,3,30,
92,pirenperone,trt_cp,1.219,-0.178,1.219,11,7,4,38,Serotonin receptor antagonist
93,L-ergothioneine,trt_cp,1.219,0.994,1.219,12,10,2,42,free radical scavenger
94,GPR39,trt_sh,1.217,0.747,1.217,13,11,2,27,
95,PLCG2,trt_sh,1.216,0.758,1.216,12,10,2,24,
96,KCNK1,trt_sh,1.216,1.014,1.216,12,12,0,33,
97,ATP5G1,trt_sh,1.215,0.882,1.215,11,9,2,24,
98,bepotastine,trt_cp,1.214,0.954,1.214,12,9,3,42,histamine receptor antagonist
99,AAGCCAT,trt_sh.css,1.214,0.995,1.214,10,10,0,12,
100,GDC-0152,trt_cp,1.213,0.793,1.213,19,15,4,42,XIAP inhibitor
101,methylstat,trt_cp,1.212,0.853,1.212,42,35,7,123,
102,GPR176,trt_sh,1.211,0.845,1.211,13,11,2,24,
103,TLR5,trt_sh,1.21,0.911,1.21,11,9,2,24,
104,POLR2H,trt_sh,1.208,0.301,1.208,12,8,4,24,
105,ACCACCA,trt_sh.css,1.208,0.95,1.208,10,8,2,13,
106,PLP2,trt_sh,1.206,0.96,1.206,13,11,2,39,
107,FSD1,trt_sh,1.206,0.798,1.206,13,10,3,39,
108,bifemelane,trt_cp,1.206,0.741,1.206,28,23,5,72,Acetylcholine release stimulant
109,alpha-linolenic-acid,trt_cp,1.205,0.773,1.205,13,10,3,31,Omega 3 fatty acid stimulant
110,TAK-733,trt_cp,1.205,0.951,1.205,19,15,4,42,MEK inhibitor
111,PRKAG1,trt_sh,1.204,0.088,1.204,12,8,4,37,
112,TUBD1,trt_sh,1.203,0.809,1.203,11,9,2,27,
113,B4GALT1,trt_sh,1.203,0.853,1.203,11,9,2,30,
114,RBPJ,trt_sh,1.202,0.993,1.202,10,9,1,32,
115,CHERP,trt_sh,1.201,0.293,1.201,15,10,5,39,
116,AVA,trt_cp,1.2,-0.393,1.2,11,7,4,48,Nucleophosmin inhibitor
117,TNFAIP3,trt_sh,1.2,0.717,1.2,16,11,5,41,
118,POLR3C,trt_sh,1.199,0.77,1.199,10,8,2,24,
119,HS2ST1,trt_sh,1.198,-0.723,1.198,25,16,9,66,
120,TNFRSF18,trt_sh,1.195,0.935,1.195,15,14,1,27,
121,ADI1,trt_sh,1.194,0.577,1.194,22,15,7,36,
122,SUPT16H,trt_sh,1.194,-1.051,1.194,10,5,5,26,
123,BRD-K67778494,trt_cp,1.194,0.821,1.194,29,22,7,72,
124,RPS9,trt_sh,1.192,1.11,1.192,10,10,0,24,
125,PAH,trt_sh,1.192,0.839,1.192,11,8,3,27,
126,BU-239,trt_cp,1.189,0.876,1.189,10,9,1,19,Imidazoline receptor agonist|Imidazoline ligand
127,LY-2228820,trt_cp,1.189,0.666,1.189,22,17,5,42,
128,PHTF2,trt_sh,1.188,0.724,1.188,13,11,2,27,
129,CPSF4,trt_sh,1.187,0.851,1.187,16,16,0,39,
130,YARS,trt_sh,1.185,0.877,1.185,16,14,2,27,
131,tetrahydrouridine,trt_cp,1.185,0.859,1.185,16,12,4,42,cytidine deaminase inhibitor
132,BRD-A95504714,trt_cp,1.184,-0.828,1.184,12,7,5,28,
133,B2M,trt_sh,1.182,-0.979,1.182,16,9,7,36,
134,RERG,trt_sh,1.181,1.055,1.181,10,10,0,24,
135,KDM3A,trt_sh,1.181,-0.768,1.181,13,8,5,36,
136,hydroxyl,trt_cp,1.18,0.84,1.18,26,21,5,101,
137,eGFP,ctl_vector,1.18,0.958,1.18,25,21,4,60,
138,ischemin,trt_cp,1.179,-0.686,1.179,27,17,10,114,
139,NQO1,trt_sh,1.178,0.825,1.178,13,11,2,33,
140,CXCR2,trt_sh,1.176,-0.68,1.176,11,6,5,27,
141,CGS-12066B,trt_cp,1.175,0.731,1.175,11,9,2,29,Serotonin receptor agonist
142,UGT1A3,trt_sh,1.175,0.817,1.175,10,7,3,27,
143,GFRA1,trt_sh,1.174,0.889,1.174,12,11,1,27,
144,G6PC,trt_sh,1.174,0.602,1.174,10,7,3,27,
145,RXRG,trt_sh,1.174,0.897,1.174,10,9,1,26,
146,SDHA,trt_sh,1.174,0.954,1.174,14,12,2,35,
147,ZNF136,trt_sh,1.173,0.704,1.173,11,8,3,24,
148,THBD,trt_sh,1.173,-0.869,1.173,13,6,7,27,
149,RANBP9,trt_sh,1.172,0.835,1.172,15,11,4,24,
150,FOXQ1,trt_sh,1.172,0.724,1.172,11,8,3,26,
151,SET,trt_sh,1.171,0.896,1.171,10,8,2,30,
152,APOA1,trt_sh,1.171,-0.92,1.171,11,6,5,27,
153,doxorubicin,trt_cp,1.17,0.913,1.17,56,46,10,192,Topoisomerase inhibitor
154,PNPO,trt_sh,1.17,0.98,1.17,12,10,2,27,
155,TBC1D15,trt_sh,1.169,-0.789,1.169,15,9,6,33,
156,JAZF1,trt_sh,1.169,1.016,1.169,12,10,2,32,
157,ESR2,trt_sh,1.168,-0.597,1.168,19,12,7,60,
158,ABL2,trt_sh,1.168,0.729,1.168,15,12,3,53,
159,FOXO3,trt_sh,1.168,0.894,1.168,24,19,5,68,
160,KIAA0494,trt_sh,1.168,0.758,1.168,12,9,3,33,
161,MRPL12,trt_sh,1.168,-0.029,1.168,12,8,4,36,
162,MKI67IP,trt_sh,1.167,-0.56,1.167,11,7,4,27,
163,RTEL1,trt_sh,1.167,0.99,1.167,11,10,1,24,
164,ETV5,trt_sh,1.167,0.142,1.167,12,8,4,24,
165,HOXA1,trt_sh,1.166,0.92,1.166,10,10,0,27,
166,PSMD3,trt_sh,1.165,0.82,1.165,14,13,1,27,
167,CTNNBIP1,trt_sh,1.165,-0.232,1.165,11,7,4,27,
168,GDI1,trt_sh,1.165,0.968,1.165,12,10,2,24,
169,POLR2K,trt_sh,1.165,0.829,1.165,24,19,5,66,
170,TRRAP,trt_sh,1.164,0.979,1.164,14,13,1,29,
171,EXT2,trt_sh,1.163,0.117,1.163,24,16,8,60,
172,FLT4,trt_sh,1.163,0.81,1.163,18,13,5,37,
173,TAS-103,trt_cp,1.163,0.903,1.163,15,12,3,42,topoisomerase inhibitor
174,PD-153035,trt_cp,1.162,-1.026,1.162,13,6,7,42,EGFR inhibitor
175,acyclovir,trt_cp,1.162,0.646,1.162,23,17,6,66,DNA polymerase inhibitor
176,THADA,trt_sh,1.162,0.711,1.162,12,9,3,33,
177,ZFYVE19,trt_sh,1.162,0.696,1.162,11,9,2,27,
178,MTF2,trt_sh,1.162,0.805,1.162,13,9,4,35,
179,MED12L,trt_sh,1.162,0.723,1.162,11,9,2,27,
180,MAP2K3,trt_sh,1.162,0.875,1.162,18,15,3,39,
181,BX-912,trt_cp,1.162,0.724,1.162,74,55,19,186,Pyruvate dehydrogenase kinase inhibitor
182,ALDH18A1,trt_sh,1.162,-0.677,1.162,18,10,8,38,
183,SNRNP70,trt_sh,1.161,0.874,1.161,15,12,3,24,
184,VER-155008,trt_cp,1.161,0.557,1.161,22,15,7,59,HSP inhibitor
185,ALMS1,trt_sh,1.161,-0.716,1.161,14,8,6,42,
186,C19ORF6,trt_sh,1.16,0.878,1.16,10,9,1,24,
187,IDH3G,trt_sh,1.16,0.955,1.16,14,13,1,27,
188,MDL-72832,trt_cp,1.16,0.697,1.16,10,8,2,19,Serotonin receptor agonist
189,thiostrepton,trt_cp,1.16,0.882,1.16,19,17,2,47,FOXM1 inhibitor|Protein synthesis inhibitor
190,BRD-K16535949,trt_cp,1.16,0.491,1.16,10,7,3,17,
191,macitentan,trt_cp,1.16,0.839,1.16,12,11,1,42,endothelin receptor antagonist
192,ENO1,trt_sh,1.159,-0.875,1.159,11,6,5,27,
193,CSNK1G3,trt_sh,1.159,0.619,1.159,13,9,4,33,
194,AOC3,trt_sh,1.159,1.017,1.159,12,12,0,27,
195,RUVBL1,trt_sh,1.158,0.891,1.158,30,27,3,66,
196,GAPDH,trt_sh,1.157,0.842,1.157,26,22,4,72,
197,STAT1,trt_sh,1.156,0.812,1.156,29,24,5,113,
198,IL13,trt_sh,1.156,0.896,1.156,11,8,3,27,
199,AVN-944,trt_cp,1.156,-0.631,1.156,13,8,5,42,inosine monophosphate dehydrogenase inhibitor
200,RPS6,trt_sh,1.156,0.875,1.156,31,26,5,90,
201,DNAJC1,trt_sh,1.156,0.766,1.156,11,9,2,33,
202,PIK3R3,trt_sh,1.156,0.819,1.156,12,11,1,33,
203,PRKCH,trt_sh,1.155,-0.821,1.155,19,10,9,42,
204,GPBAR1,trt_sh,1.154,0.889,1.154,14,12,2,24,
205,STK3,trt_sh,1.154,-0.766,1.154,14,8,6,46,
206,WZ-3105,trt_cp,1.154,0.836,1.154,26,20,6,171,CLK2 inihibitor
207,GALC,trt_sh,1.153,0.593,1.153,15,11,4,26,
208,AKAP9,trt_sh,1.151,-0.35,1.151,11,7,4,30,
209,phorbol-12-myristate-13-acetate,trt_cp,1.151,0.81,1.151,34,28,6,95,PKC activator
210,lovastatin,trt_cp,1.15,0.453,1.15,37,25,12,109,HMGCR inhibitor
211,VTP-27999,trt_cp,1.15,0.87,1.15,16,14,2,42,renin inhibitor
212,UGT1A1,trt_sh,1.149,0.825,1.149,12,12,0,27,
213,linsidomine,trt_cp,1.149,-0.832,1.149,24,14,10,42,nitric oxide donor
214,METAP2,trt_sh,1.149,-0.762,1.149,14,8,6,33,
215,amikacin,trt_cp,1.148,0.833,1.148,19,16,3,45,Bacterial 30S ribosomal subunit inhibitor
216,15-delta-prostaglandin-j2,trt_cp,1.148,-0.44,1.148,44,29,15,109,PPAR receptor agonist
217,TAF5L,trt_sh,1.148,0.645,1.148,12,9,3,27,
218,thiomersal,trt_cp,1.148,0.683,1.148,23,16,7,46,Other antibiotic
219,disulfiram,trt_cp,1.148,-0.646,1.148,17,10,7,56,Aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist
220,IL11RA,trt_sh,1.148,0.677,1.148,11,9,2,27,
221,ALDH1A1,trt_sh,1.147,-0.327,1.147,11,7,4,24,
222,HORMAD2,trt_sh,1.147,0.906,1.147,11,9,2,38,
223,coumestrol,trt_cp,1.147,0.802,1.147,12,10,2,19,Estrogen receptor agonist
224,AT-7519,trt_cp,1.146,-0.954,1.146,56,29,27,243,CDK inhibitor|Cell cycle inhibitor
225,bruceantin,trt_cp,1.146,0.99,1.146,18,16,2,36,protein synthesis inhibitor
226,sparfloxacin,trt_cp,1.145,0.794,1.145,16,11,5,46,Bacterial DNA gyrase inhibitor
227,RAB27A,trt_sh,1.145,0.917,1.145,15,11,4,36,
228,BMS-536924,trt_cp,1.145,0.812,1.145,34,25,9,95,IGF-1 inhibitor
229,ZBTB24,trt_sh,1.145,-0.695,1.145,16,10,6,42,
230,KU-0060648,trt_cp,1.145,0.78,1.145,39,27,12,94,DNA dependent protein kinase inhibitor|PI3K inhibitor
231,PPP2R4,trt_sh,1.145,0.722,1.145,11,9,2,24,
232,fluvastatin,trt_cp,1.144,0.642,1.144,14,10,4,33,HMGCR inhibitor
233,IL1R1,trt_sh,1.143,-0.903,1.143,11,5,6,27,
234,AZD-8330,trt_cp,1.141,-0.158,1.141,72,48,24,204,MEK inhibitor
235,CD40,trt_sh,1.141,0.917,1.141,10,9,1,32,
236,FL-HDAC-025,trt_cp,1.14,0.661,1.14,36,26,10,96,
237,CTS-1027,trt_cp,1.14,-0.756,1.14,15,7,8,42,metalloproteinase inhibitor
238,RNF186,trt_sh,1.14,0.897,1.14,12,11,1,32,
239,KNDC1,trt_sh,1.14,0.771,1.14,38,28,10,80,
240,NSI-189,trt_cp,1.14,-0.823,1.14,18,10,8,42,neurotrophic agent
241,PTP4A1,trt_sh,1.139,-0.89,1.139,32,16,16,88,
242,methylene-blue,trt_cp,1.139,0.587,1.139,38,26,12,107,Nitric oxide production inhibitor|Monoamine oxidase inhibitor|Tau aggregation inhibitor|Guanylyl cyclase inhibitor
243,YKT6,trt_sh,1.139,-0.878,1.139,16,8,8,39,
244,DIDO1,trt_xpr,1.139,0.901,1.139,23,19,4,77,
245,PPIE,trt_sh,1.139,0.942,1.139,15,11,4,42,
246,KDR,trt_sh,1.138,0.91,1.138,22,18,4,66,
247,PAPOLA,trt_sh,1.137,0.878,1.137,10,9,1,27,
248,LRRC16A,trt_sh,1.137,-0.623,1.137,15,9,6,42,
249,telbivudine,trt_cp,1.137,0.582,1.137,16,11,5,42,DNA polymerase inhibitor
250,SIAH1,trt_sh,1.136,0.659,1.136,13,9,4,33,
251,ZNF232,trt_sh,1.135,-0.756,1.135,13,8,5,24,
252,CD59,trt_sh,1.135,0.836,1.135,15,12,3,27,
253,AGL,trt_sh,1.135,0.136,1.135,30,20,10,75,
254,HIF1AN,trt_sh,1.135,-0.677,1.135,10,6,4,35,
255,TF,trt_sh,1.134,-0.206,1.134,11,7,4,24,
256,GATA3,trt_sh,1.134,0.764,1.134,29,22,7,73,
257,CAND1,trt_sh,1.134,-0.964,1.134,10,5,5,26,
258,DDB1,trt_sh,1.133,0.935,1.133,11,10,1,24,
259,rhamnetin,trt_cp,1.133,0.92,1.133,12,10,2,31,Aldose reductase inhibitor
260,AG-957,trt_cp,1.133,1.003,1.133,12,11,1,23,Protein tyrosine kinase inhibitor
261,PLAUR,trt_sh,1.133,0.895,1.133,14,10,4,27,
262,allantoin,trt_cp,1.132,0.762,1.132,12,9,3,19,Product of purine catabolism used in cosmetics
263,CDCA4,trt_sh,1.132,0.835,1.132,27,23,4,72,
264,ZNF554,trt_sh,1.132,0.818,1.132,10,7,3,24,
265,TRAF1,trt_sh,1.132,1.061,1.132,11,11,0,27,
266,RPN1,trt_sh,1.132,0.901,1.132,32,25,7,66,
267,GNE,trt_sh,1.132,-0.668,1.132,46,27,19,133,
268,hemado,trt_cp,1.131,0.576,1.131,13,9,4,19,Adenosine receptor agonist
269,PDK2,trt_sh,1.131,0.834,1.131,12,9,3,36,
270,PHA-793887,trt_cp,1.131,0.861,1.131,98,81,17,246,CDK inhibitor
271,MMP14,trt_sh,1.131,0.907,1.131,10,8,2,27,
272,HEY1,trt_sh,1.131,0.818,1.131,18,15,3,33,
273,MSRB2,trt_sh,1.13,-0.772,1.13,10,5,5,33,
274,RSPH1,trt_sh,1.13,-1.12,1.13,10,4,6,24,
275,BIRC3,trt_sh,1.13,0.663,1.13,10,7,3,27,
276,SLC39A8,trt_sh,1.13,0.682,1.13,13,10,3,33,
277,DERA,trt_sh,1.129,0.613,1.129,16,11,5,42,
278,PD-98059,trt_cp,1.129,-0.728,1.129,31,19,12,96,MEK inhibitor|MAP kinase inhibitor
279,GNF-2,trt_cp,1.128,-0.765,1.128,72,44,28,179,Bcr-Abl kinase inhibitor
280,FGF17,trt_lig,1.127,-0.78,1.127,10,5,5,19,
281,PPP1CC,trt_sh,1.127,0.718,1.127,12,9,3,27,
282,ST-1859,trt_cp,1.126,-0.822,1.126,16,8,8,42,antiamyloidogenic agent
283,atenolol-(+/-),trt_cp,1.126,-0.837,1.126,23,12,11,53,Adrenergic receptor antagonist
284,ADC,trt_sh,1.126,0.872,1.126,11,9,2,24,
285,GPR34,trt_sh,1.125,0.719,1.125,10,7,3,24,
286,trametinib,trt_cp,1.125,0.901,1.125,60,54,6,161,MEK inhibitor
287,TPM1,trt_sh,1.124,-0.831,1.124,14,6,8,42,
288,TFF1,trt_sh,1.124,0.684,1.124,10,7,3,30,
289,acrivastine,trt_cp,1.123,-0.206,1.123,20,13,7,42,histamine receptor antagonist
290,CCL19,trt_lig,1.123,0.838,1.123,12,10,2,19,
291,MFHAS1,trt_sh,1.123,-0.555,1.123,14,8,6,33,
292,FECH,trt_sh,1.122,0.789,1.122,13,10,3,27,
293,amonafide,trt_cp,1.122,0.868,1.122,25,19,6,57,Topoisomerase inhibitor
294,Broad-Sai-595,trt_cp,1.122,-0.608,1.122,19,12,7,48,
295,LY-165163,trt_cp,1.121,0.785,1.121,13,10,3,25,Serotonin receptor antagonist
296,ATF6,trt_sh,1.121,-0.417,1.121,17,11,6,35,
297,USP16,trt_sh,1.121,-0.743,1.121,13,8,5,36,
298,RPS6,trt_xpr,1.121,0.886,1.121,30,27,3,77,
299,epirubicin,trt_cp,1.121,0.58,1.121,14,10,4,74,Topoisomerase inhibitor
300,pyrvinium-pamoate,trt_cp,1.121,0.863,1.121,19,15,4,74,Androgen receptor antagonist|AKT inhibitor
301,PDIA4,trt_sh,1.119,-0.259,1.119,11,7,4,27,
302,PMF1,trt_sh,1.119,0.989,1.119,19,17,2,36,
303,EPAS1,trt_sh,1.118,0.95,1.118,12,10,2,27,
304,cobimetinib,trt_cp,1.118,0.964,1.118,11,11,0,42,MEK inhibitor
305,OR10Z1,trt_sh,1.118,0.786,1.118,12,9,3,24,
306,SQRDL,trt_sh,1.118,-0.337,1.118,11,7,4,36,
307,tosedostat,trt_cp,1.118,-0.85,1.118,44,25,19,109,Peptidase inhibitor
308,SESN1,trt_sh,1.118,-0.87,1.118,18,10,8,43,
309,ITPR1,trt_sh,1.117,0.84,1.117,10,8,2,27,
310,TM9SF3,trt_sh,1.117,0.611,1.117,13,9,4,43,
311,BIRC2,trt_sh,1.117,0.09,1.117,21,14,7,35,
312,salmeterol,trt_cp,1.116,0.614,1.116,10,7,3,36,Adrenergic receptor agonist
313,PHF23,trt_sh,1.116,0.94,1.116,11,9,2,27,
314,TLR7,trt_sh,1.116,0.957,1.116,10,8,2,33,
315,RAF1,trt_sh,1.115,0.828,1.115,33,25,8,72,
316,JAK3-inhibitor-I,trt_cp,1.115,0.649,1.115,10,8,2,19,JAK inhibitor
317,CALR,trt_sh,1.115,0.774,1.115,13,10,3,33,
318,CRAT,trt_sh,1.115,-0.665,1.115,15,9,6,27,
319,pivmecillinam,trt_cp,1.115,-0.271,1.115,11,7,4,27,Bacterial cell wall synthesis inhibitor
320,ZDHHC6,trt_sh,1.114,0.874,1.114,16,15,1,39,
321,NFKB2,trt_sh,1.114,0.663,1.114,17,13,4,32,
322,TNFAIP1,trt_sh,1.114,0.868,1.114,13,11,2,33,
323,LSP1,trt_sh,1.114,-0.362,1.114,17,11,6,33,
324,PPAP2A,trt_sh,1.113,0.677,1.113,32,23,9,66,
325,naringenin,trt_cp,1.113,0.164,1.113,21,14,7,65,Aromatase inhibitor|TRPV antagonist
326,NVP-BGJ398,trt_cp,1.113,0.742,1.113,53,37,16,179,FGFR inhibitor
327,AS-703026,trt_cp,1.113,0.801,1.113,27,22,5,60,MEK inhibitor
328,HLA-A,trt_sh,1.113,0.624,1.113,11,8,3,36,
329,FAM120A,trt_sh,1.112,0.828,1.112,12,11,1,27,
330,HAL,trt_sh,1.112,-0.774,1.112,12,6,6,24,
331,KCNJ11,trt_sh,1.112,0.8,1.112,10,9,1,27,
332,SCNN1A,trt_sh,1.111,1.016,1.111,13,11,2,33,
333,gemcitabine,trt_cp,1.111,0.725,1.111,68,48,20,195,Ribonucleotide reductase inhibitor
334,C2CD2L,trt_sh,1.111,0.836,1.111,19,17,2,42,
335,ALX1,trt_sh,1.11,0.89,1.11,10,8,2,27,
336,dexloxiglumide,trt_cp,1.11,0.905,1.11,17,15,2,42,CCK receptor antagonist
337,clofarabine,trt_cp,1.11,-0.731,1.11,16,10,6,61,Ribonucleoside reductase inhibitor
338,XMD-16144,trt_cp,1.109,-0.673,1.109,58,37,21,180,
339,IOWH-032,trt_cp,1.109,-0.824,1.109,16,9,7,42,
340,"hydroxytacrine-maleate-(r,s)",trt_cp,1.109,0.184,1.109,12,8,4,25,Cholinesterase inhibitor
341,flutrimazole,trt_cp,1.109,0.243,1.109,15,10,5,42,sterol demethylase inhibitor
342,PISD,trt_sh,1.109,-0.692,1.109,10,6,4,27,
343,TG-101348,trt_cp,1.109,-0.72,1.109,87,56,31,233,JAK inhibitor|FLT3 inhibitor
344,CMAS,trt_sh,1.109,0.669,1.109,11,9,2,24,
345,IRS1,trt_sh,1.109,0.053,1.109,36,24,12,92,
346,ECH1,trt_sh,1.109,-0.893,1.109,14,6,8,39,
347,PTGFR,trt_sh,1.108,0.742,1.108,12,10,2,26,
348,HHEX,trt_sh,1.107,-0.357,1.107,11,7,4,24,
349,HADH,trt_sh,1.107,0.648,1.107,33,23,10,72,
350,birinapant,trt_cp,1.107,-0.959,1.107,13,8,5,42,XIAP inhibitor
351,CANX,trt_sh,1.106,0.703,1.106,16,12,4,33,
