,pert_iname,trt,quantile,quant_low,quant_high,n_sig,n_sig_pos,n_sig_neg,n_sig_initial,moa
69,CNOT4,trt_sh.cgs,1.269,0.934,1.269,10,7,3,14,
70,F10,trt_sh,1.269,0.903,1.269,16,12,4,27,
71,RFXANK,trt_sh,1.268,0.874,1.268,24,19,5,27,
72,SRC,trt_oe,1.268,0.819,1.268,10,8,2,18,
73,lansoprazole,trt_cp,1.267,-0.748,1.267,12,7,5,21,ATPase inhibitor
74,SATB1,trt_oe,1.266,-0.752,1.266,10,5,5,17,
75,ITGB1,trt_sh,1.264,0.835,1.264,13,10,3,27,
76,ZNF57,trt_sh,1.264,-0.621,1.264,15,9,6,27,
77,FGF5,trt_lig,1.263,-0.942,1.263,12,6,6,19,
78,DTX2,trt_sh,1.262,0.849,1.262,11,10,1,18,
79,LGALS1,trt_sh,1.261,0.057,1.261,21,14,7,27,
80,BRD-K81314178,trt_cp,1.26,0.96,1.26,11,10,1,18,
81,NAT10,trt_sh,1.26,0.815,1.26,18,17,1,27,
82,ZNF354B,trt_sh,1.259,0.942,1.259,22,19,3,27,
83,OTUD3,trt_sh,1.258,0.973,1.258,21,17,4,33,
84,LIF,trt_sh,1.257,0.924,1.257,18,13,5,30,
85,MMP7,trt_sh,1.257,0.827,1.257,13,9,4,27,
86,SA-103006,trt_cp,1.256,0.838,1.256,15,13,2,29,
87,ARC-239,trt_cp,1.256,-0.62,1.256,10,6,4,15,Adrenergic receptor antagonist
88,OR52B2,trt_sh,1.256,1.027,1.256,18,17,1,24,
89,BRD-K91671201,trt_cp,1.253,-0.606,1.253,11,6,5,17,
90,EXT1,trt_sh.cgs,1.252,1.185,1.252,10,9,1,14,
91,MBX-2982,trt_cp,1.252,1.036,1.252,28,25,3,42,glucose dependent insulinotropic receptor agonist
92,ATGGAAG,trt_sh.css,1.248,0.958,1.248,12,10,2,14,
93,F3,trt_oe,1.248,0.73,1.248,10,8,2,17,
94,cefotiam,trt_cp,1.247,-0.845,1.247,13,6,7,23,Bacterial cell wall synthesis inhibitor
95,PSMB10,trt_sh,1.245,0.817,1.245,19,15,4,27,
96,ZNF619,trt_sh,1.245,0.717,1.245,16,11,5,27,
97,2-aminopurine,trt_cp,1.244,-0.704,1.244,13,8,5,18,Serine/threonine kinase inhibitor
98,beclometasone,trt_cp,1.244,0.721,1.244,10,7,3,17,Glucocorticoid receptor agonist
99,C2,trt_sh,1.243,1.057,1.243,17,15,2,27,
100,E2F6,trt_sh,1.241,1.017,1.241,18,17,1,30,
101,BRD-K37160541,trt_cp,1.24,-0.893,1.24,13,8,5,18,
102,THBD,trt_lig,1.239,0.711,1.239,10,8,2,19,
103,WYE-125132,trt_cp,1.239,0.857,1.239,90,77,13,204,MTOR inhibitor
104,BRD-K59946561,trt_cp,1.239,-0.892,1.239,12,6,6,24,
105,DNTTIP2,trt_oe,1.239,-0.063,1.239,11,7,4,17,
106,CEBPB,trt_sh,1.238,0.697,1.238,11,8,3,27,
107,ERCC4,trt_sh,1.238,0.983,1.238,16,12,4,27,
108,NSC-663284,trt_cp,1.238,0.711,1.238,11,8,3,28,CDC inhibitor
109,SNRPA,trt_sh,1.237,-1.233,1.237,12,6,6,24,
110,BRD-K16300438,trt_cp,1.236,0.658,1.236,18,13,5,28,
111,alda-1,trt_cp,1.236,0.786,1.236,33,24,9,59,Aldehyde dehydrogenase activator
112,BRD-K82206012,trt_cp,1.235,0.979,1.235,16,14,2,24,
113,PIT,trt_cp,1.235,0.702,1.235,10,8,2,19,Purinergic receptor antagonist
114,ANKRD37,trt_sh,1.234,0.943,1.234,19,17,2,25,
115,PROKR2,trt_sh,1.233,0.702,1.233,20,14,6,26,
116,PKN1,trt_sh,1.233,-0.827,1.233,20,11,9,31,
117,PDGFRA,trt_sh,1.233,-0.62,1.233,40,26,14,67,
118,BRD-K14316227,trt_cp,1.232,0.472,1.232,13,9,4,17,
119,BRD-K88542532,trt_cp,1.231,0.382,1.231,12,8,4,17,
120,BRD-K08630646,trt_cp,1.231,1.023,1.231,11,8,3,17,
121,BRD-A41114263,trt_cp,1.231,0.791,1.231,11,9,2,17,
122,SA-1447005,trt_cp,1.23,0.86,1.23,10,8,2,29,
123,SERPINB5,trt_sh,1.23,0.893,1.23,18,17,1,27,
124,BRD-K15475572,trt_cp,1.229,0.904,1.229,11,10,1,17,
125,BRD-K15107389,trt_cp,1.228,-0.876,1.228,10,6,4,17,Ribosomal protein inhibitor
126,BRD-K65411918,trt_cp,1.228,1.066,1.228,13,13,0,24,
127,PON3,trt_sh,1.227,-0.982,1.227,14,7,7,27,
128,CDK2,trt_sh.cgs,1.227,0.901,1.227,10,9,1,14,
129,BRD-K28680267,trt_cp,1.227,0.643,1.227,11,9,2,19,CCK receptor antagonist
130,inhibitor-BEC,trt_cp,1.225,0.661,1.225,32,25,7,59,Arginase inhibitor
131,PF-04691502,trt_cp,1.225,0.975,1.225,24,22,2,42,"mTOR inhibitor, PI3K inhibitor"
132,COX4I1,trt_sh,1.224,0.282,1.224,12,8,4,27,
133,ZNF558,trt_sh,1.224,-0.29,1.224,11,7,4,24,
134,tetracycline,trt_cp,1.223,-0.588,1.223,11,6,5,17,Bacterial 30S ribosomal subunit inhibitor
135,BRD-A89333723,trt_cp,1.223,-0.256,1.223,14,9,5,17,
136,gallopamil,trt_cp,1.223,0.875,1.223,22,20,2,42,L-type calcium channel blocker
137,CGP-52432,trt_cp,1.222,0.899,1.222,11,10,1,19,GABA receptor antagonist
138,NFRKB,trt_sh,1.222,0.951,1.222,20,17,3,24,
139,UBE2N,trt_sh,1.222,1.023,1.222,18,16,2,27,
140,ATP5F1,trt_sh,1.222,0.725,1.222,16,11,5,27,
141,BRD-K07395346,trt_cp,1.221,0.872,1.221,14,10,4,17,
142,S100B,trt_sh,1.221,0.793,1.221,19,14,5,27,
143,CALM2,trt_sh,1.22,0.708,1.22,24,19,5,42,
144,castanospermine,trt_cp,1.22,0.838,1.22,23,19,4,42,glucosidase inhibitor
145,ERF,trt_sh,1.22,-0.098,1.22,17,11,6,24,
146,CAY-10415,trt_cp,1.219,-0.572,1.219,10,6,4,17,Insulin sensitizer
147,morphothebaine,trt_cp,1.218,0.861,1.218,10,8,2,19,Adrenergic receptor antagonist
148,COASY,trt_sh,1.218,0.771,1.218,43,34,9,71,
149,ZNF444,trt_sh,1.218,-0.176,1.218,17,11,6,24,
150,BRD-K33606495,trt_cp,1.217,0.941,1.217,10,8,2,17,
151,TRIM32,trt_sh,1.216,0.47,1.216,16,11,5,27,
152,TRIP13,trt_sh,1.216,0.739,1.216,16,13,3,33,
153,SATB1,trt_sh,1.216,-0.252,1.216,17,11,6,27,
154,FGF16,trt_lig,1.215,-0.174,1.215,14,9,5,19,
155,axitinib,trt_cp,1.214,-0.862,1.214,11,6,5,17,VEGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor
156,empagliflozin,trt_cp,1.214,0.92,1.214,30,25,5,42,sodium/glucose cotransporter inhibitor
157,ibuprofen-(S),trt_cp,1.213,-0.789,1.213,13,6,7,23,Cyclooxygenase inhibitor
158,SP140L,trt_sh,1.212,0.871,1.212,11,8,3,24,
159,BAS-09104376,trt_cp,1.211,0.936,1.211,10,8,2,17,HIV integrase inhibitor
160,TEAD2,trt_sh,1.211,0.68,1.211,15,11,4,27,
161,ANP32E,trt_sh,1.211,0.805,1.211,15,14,1,24,
162,TNFSF10,trt_sh,1.21,0.913,1.21,18,16,2,27,
163,BRD-K90996982,trt_cp,1.21,-0.787,1.21,10,5,5,13,
164,PKM2,trt_sh,1.21,0.624,1.21,19,14,5,40,
165,NTS,trt_lig,1.21,0.917,1.21,10,8,2,19,
166,guanfacine,trt_cp,1.21,0.922,1.21,11,9,2,23,Adrenergic receptor agonist
167,CXCR4,trt_sh.cgs,1.209,1.029,1.209,10,10,0,12,
168,RRAGB,trt_sh,1.209,-0.906,1.209,13,5,8,24,
169,prostaglandin,trt_cp,1.209,-0.57,1.209,13,8,5,18,Prostanoid receptor antagonist
170,cinalukast,trt_cp,1.208,0.831,1.208,12,10,2,19,Leukotriene receptor antagonist
171,FZD6,trt_sh,1.207,0.958,1.207,12,10,2,24,
172,HIC2,trt_sh,1.207,0.707,1.207,19,13,6,27,
173,baricitinib,trt_cp,1.207,0.894,1.207,28,22,6,42,JAK inhibitor
174,EPN2,trt_sh,1.207,0.791,1.207,21,16,5,42,
175,PF-04620110,trt_cp,1.206,0.989,1.206,26,24,2,42,diacylglycerol O acyltransferase inhibitor
176,BRD-K50280607,trt_cp,1.205,0.847,1.205,10,8,2,17,
177,ZNF133,trt_sh,1.204,1.122,1.204,18,16,2,27,
178,deracoxib,trt_cp,1.204,-0.751,1.204,13,8,5,23,Cyclooxygenase inhibitor
179,BRD-K51998148,trt_cp,1.204,0.66,1.204,11,8,3,18,
180,piracetam,trt_cp,1.203,0.875,1.203,29,25,4,46,Acetylcholine receptor agonist
181,RPS6KB2,trt_sh,1.203,0.643,1.203,11,8,3,27,
182,VEGFC,trt_sh,1.202,0.976,1.202,15,13,2,35,
183,PPP4R1,trt_sh,1.202,-0.573,1.202,13,8,5,36,
184,BMP7,trt_lig,1.202,0.957,1.202,10,8,2,19,
185,erythromycin-estolate,trt_cp,1.202,0.256,1.202,12,8,4,23,Bacterial 50S ribosomal subunit inhibitor
186,INS,trt_sh,1.202,0.986,1.202,15,12,3,33,
187,BRD-A73513677,trt_cp,1.202,-0.705,1.202,14,7,7,28,
188,NOSIP,trt_oe,1.202,0.683,1.202,10,7,3,17,
189,RDH11,trt_sh,1.2,-0.701,1.2,16,10,6,27,
190,IRF3,trt_sh,1.199,-0.041,1.199,14,9,5,27,
191,ammonium-glycyrrhizinate,trt_cp,1.199,0.591,1.199,18,14,4,42,thrombin inhibitor
192,BRD-K63245238,trt_cp,1.199,0.628,1.199,10,7,3,17,
193,PD-407824,trt_cp,1.199,-0.986,1.199,13,5,8,27,PKC inhibitor
194,methiopril,trt_cp,1.199,0.722,1.199,29,21,8,42,angiotensin converting enzyme inhibitor
195,IL7R,trt_sh,1.199,-0.861,1.199,11,5,6,27,
196,PAM,trt_sh,1.199,0.953,1.199,17,13,4,27,
197,COASY,trt_sh.cgs,1.199,0.998,1.199,11,8,3,13,
198,EIF2AK1,trt_sh,1.199,0.464,1.199,17,12,5,37,
199,JUNB,trt_sh,1.198,0.806,1.198,17,12,5,27,
200,SU-1498,trt_cp,1.197,0.758,1.197,17,13,4,19,VEGFR inhibitor
201,PAH,trt_sh,1.196,-0.55,1.196,16,10,6,27,
202,CLOCK,trt_sh,1.196,0.714,1.196,19,14,5,35,
203,BRD-K79779816,trt_cp,1.196,0.67,1.196,11,8,3,17,
204,GPR4,trt_sh,1.195,-0.801,1.195,12,7,5,24,
205,PHF16,trt_sh,1.195,0.779,1.195,19,15,4,24,
206,UBAP2L,trt_sh,1.194,-0.684,1.194,19,11,8,33,
207,IL17B,trt_lig,1.194,1.001,1.194,10,8,2,19,
208,phenacetin,trt_cp,1.193,0.195,1.193,15,10,5,27,Cyclooxygenase inhibitor
209,NOV,trt_sh,1.192,-0.471,1.192,18,11,7,27,
210,benfluorex,trt_cp,1.192,0.785,1.192,29,24,5,57,Gluconeogenesis inhibitor
211,anacetrapib,trt_cp,1.192,0.758,1.192,26,21,5,42,cholesteryl ester transfer protein inhibitor
212,BRD-A82913781,trt_cp,1.191,-0.743,1.191,21,13,8,30,
213,IL12,trt_lig,1.189,0.639,1.189,13,9,4,19,
214,CRY1,trt_sh,1.189,0.88,1.189,22,16,6,35,
215,MVP,trt_oe,1.188,0.839,1.188,12,11,1,17,
216,dalfampridine,trt_cp,1.188,0.876,1.188,23,19,4,42,potassium channel blocker
217,MW-SHH-98,trt_cp,1.188,0.71,1.188,55,42,13,101,Hedgehog pathway modulator
218,UGISS-186,trt_cp,1.187,0.67,1.187,13,9,4,17,
219,UQCRB,trt_sh,1.187,0.911,1.187,20,16,4,27,
220,BRD-K81313552,trt_cp,1.186,0.666,1.186,13,10,3,17,
221,PTPN12,trt_sh,1.186,0.82,1.186,148,123,25,231,
222,TARBP2,trt_sh,1.186,0.962,1.186,15,13,2,27,
223,MLN-0128,trt_cp,1.185,0.924,1.185,67,54,13,173,
224,BRD-K57975631,trt_cp,1.185,-0.308,1.185,11,7,4,13,
225,HCAR1,trt_sh,1.185,-0.135,1.185,17,11,6,27,
226,CGP-55845,trt_cp,1.184,-0.313,1.184,11,7,4,19,GABA receptor antagonist
227,A2M,trt_sh,1.184,0.938,1.184,14,11,3,24,
228,apabetalone,trt_cp,1.183,-0.835,1.183,19,11,8,37,apolipoprotein expression enhancer
229,buthionine-sulfoximine,trt_cp,1.183,-0.779,1.183,10,6,4,17,Glutathione transferase inhibitor
230,mometasone,trt_cp,1.183,0.931,1.183,11,10,1,23,Glucocorticoid receptor agonist
231,BRD-K88511582,trt_cp,1.183,0.466,1.183,10,7,3,13,
232,WNT11,trt_sh,1.183,0.763,1.183,15,12,3,27,
233,ZNF138,trt_sh,1.182,0.859,1.182,17,13,4,24,
234,prednisolone-hemisuccinate,trt_cp,1.182,0.914,1.182,12,10,2,23,Glucocorticoid receptor agonist
235,LEF1,trt_sh,1.182,0.928,1.182,21,16,5,33,
236,POU2AF1,trt_sh,1.182,0.949,1.182,16,15,1,24,
237,CTSK,trt_sh,1.182,0.84,1.182,15,11,4,27,
238,amfepramone,trt_cp,1.182,-0.317,1.182,38,25,13,45,Adrenergic receptor agonist
239,tioguanine,trt_cp,1.182,0.676,1.182,27,22,5,45,Purine antagonist
240,TNF,trt_sh,1.182,-0.653,1.182,21,13,8,33,
241,NDUFAB1,trt_sh,1.181,0.684,1.181,17,13,4,27,
242,BRD-K85051645,trt_cp,1.181,-0.204,1.181,20,13,7,28,
243,BGT-226,trt_cp,1.18,0.848,1.18,65,50,15,104,
244,BRD-A41997916,trt_cp,1.179,-0.796,1.179,11,6,5,17,
245,loxapine,trt_cp,1.178,0.818,1.178,18,13,5,37,Dopamine receptor antagonist|Serotonin receptor antagonist
246,STAP2,trt_oe,1.178,-0.742,1.178,13,8,5,17,
247,eugenitol,trt_cp,1.178,0.871,1.178,13,10,3,19,Androgen receptor antagonist|Bacterial quorum sensing inhibitor|Chromone|Monoamine oxidase inhibitor
248,RBBP7,trt_sh,1.178,0.06,1.178,18,12,6,27,
249,"3,3'-diindolylmethane",trt_cp,1.178,0.656,1.178,41,28,13,77,"CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor"
250,LRP10,trt_sh.cgs,1.177,-0.837,1.177,10,4,6,14,
251,BRD-K81813927,trt_cp,1.176,0.759,1.176,12,9,3,17,
252,HOXB7,trt_sh,1.176,0.727,1.176,19,17,2,27,
253,BRD-K70646792,trt_cp,1.176,0.829,1.176,10,8,2,13,
254,MAPK7,trt_sh,1.175,-0.703,1.175,11,6,5,18,
255,huperzine-a,trt_cp,1.175,-0.496,1.175,24,15,9,43,Acetylcholinesterase inhibitor|Glutamate receptor antagonist
256,SLC1A6,trt_sh,1.175,0.645,1.175,14,10,4,24,
257,PYGL,trt_sh,1.175,0.732,1.175,21,16,5,33,
258,bemegride,trt_cp,1.175,0.691,1.175,31,23,8,65,Chemoreceptor agonist
259,KU-C103871,trt_cp,1.175,-0.885,1.175,10,4,6,13,GSP agonist
260,MRGPRX3,trt_sh,1.175,-0.675,1.175,14,8,6,24,
261,ST-4075437,trt_cp,1.175,0.679,1.175,13,9,4,17,
262,ATCGCTG,trt_sh.css,1.174,0.941,1.174,11,10,1,12,
263,pgw,ctl_vector,1.174,0.78,1.174,162,117,45,236,
264,SOCS2,trt_sh.cgs,1.174,0.599,1.174,10,8,2,12,
265,tipifarnib,trt_cp,1.174,-0.537,1.174,26,16,10,59,Farnesyltransferase inhibitor
266,SLC16A3,trt_sh,1.173,-0.716,1.173,15,9,6,27,
267,SA-103123,trt_cp,1.173,0.875,1.173,15,11,4,25,
268,TUL_XIX002,trt_cp,1.173,0.741,1.173,20,15,5,32,
269,PCGF1,trt_sh,1.172,0.884,1.172,14,13,1,27,
270,amrinone,trt_cp,1.172,0.703,1.172,25,19,6,42,phosphodiesterase inhibitor
271,TCF4,trt_sh,1.171,0.715,1.171,23,17,6,38,
272,ST-91,trt_cp,1.171,0.826,1.171,12,11,1,19,Adrenergic receptor agonist
273,TYRO3,trt_oe,1.171,0.347,1.171,10,7,3,16,
274,EPOR,trt_sh,1.171,-0.742,1.171,15,8,7,27,
275,BRD-K54168141,trt_cp,1.171,0.818,1.171,10,8,2,13,
276,CDKAL1,trt_sh,1.17,0.764,1.17,17,14,3,33,
277,FADS3,trt_sh,1.17,0.545,1.17,18,13,5,31,
278,ST-4042556,trt_cp,1.17,-0.502,1.17,10,6,4,17,
279,EED,trt_sh,1.169,0.918,1.169,22,18,4,35,
280,BRD-K49403449,trt_cp,1.169,-0.649,1.169,18,11,7,30,
281,tasquinimod,trt_cp,1.169,0.635,1.169,31,22,9,42,"angiogenesis inhibitor, S100A9 inhibitor"
282,UNC-669,trt_cp,1.169,-0.749,1.169,45,26,19,114,
283,EMD-386088,trt_cp,1.169,0.965,1.169,13,11,2,23,Serotonin receptor agonist
284,SSX3,trt_sh,1.168,0.758,1.168,17,13,4,24,
285,BRD-K45355657,trt_cp,1.167,0.717,1.167,11,8,3,15,
286,SA-425500,trt_cp,1.167,-0.86,1.167,18,10,8,28,
287,EXO-1,trt_cp,1.167,-0.672,1.167,22,12,10,34,ARF inhibitor
288,BRD-K82492171,trt_cp,1.167,0.951,1.167,10,8,2,17,
289,ATF5,trt_sh.cgs,1.166,-0.228,1.166,11,7,4,14,
290,medetomidine,trt_cp,1.166,0.79,1.166,35,27,8,57,Adrenergic receptor agonist
291,FRAT2,trt_sh,1.166,0.85,1.166,16,12,4,27,
292,BRL-50481,trt_cp,1.165,0.835,1.165,12,11,1,19,Phosphodiesterase inhibitor
293,pseudoephedrine,trt_cp,1.165,-0.629,1.165,10,6,4,19,Adrenergic receptor agonist
294,BRD-K74109131,trt_cp,1.165,0.881,1.165,12,10,2,18,
295,GPRC6A,trt_sh,1.165,0.972,1.165,15,13,2,27,
296,tyrphostin-AG-538,trt_cp,1.165,0.893,1.165,13,9,4,19,IGF-1 inhibitor
297,linezolid,trt_cp,1.164,0.71,1.164,41,30,11,74,Bacterial 50S ribosomal subunit inhibitor
298,HSPA1B,trt_sh,1.164,-1.024,1.164,16,8,8,24,
299,ALDH3A2,trt_sh,1.164,0.658,1.164,16,12,4,30,
300,neurodazine,trt_cp,1.163,-0.449,1.163,13,8,5,18,Neurogenesis of non-pluripotent C2C12 myoblast inducer
301,BRD-K85694079,trt_cp,1.163,0.852,1.163,10,8,2,17,
302,BRD-K11795542,trt_cp,1.163,-1.003,1.163,10,5,5,17,
303,ZNF585A,trt_sh,1.163,0.811,1.163,19,14,5,27,
304,MCOLN1,trt_sh,1.162,0.639,1.162,24,17,7,33,
305,MW-STK33-97,trt_cp,1.162,0.719,1.162,21,18,3,32,
306,STK19,trt_sh,1.162,-0.543,1.162,25,15,10,43,
307,avanafil,trt_cp,1.162,0.671,1.162,22,16,6,42,phosphodiesterase inhibitor
308,SU-11274,trt_cp,1.162,-0.576,1.162,94,60,34,180,Hepatocyte growth factor receptor inhibitor|Tyrosine kinase inhibitor
309,MED6,trt_sh,1.162,-0.855,1.162,13,7,6,24,
310,DIABLO,trt_sh,1.162,-0.734,1.162,23,14,9,32,
311,DFFA,trt_sh,1.161,0.996,1.161,20,17,3,27,
312,gaboxadol,trt_cp,1.161,-0.866,1.161,28,16,12,45,GABA receptor agonist
313,KLF7,trt_sh,1.161,0.986,1.161,12,11,1,24,
314,HLA-DPB1,trt_sh,1.16,-0.597,1.16,22,14,8,27,
315,RBMS1,trt_sh,1.16,0.982,1.16,17,14,3,27,
316,BRD-K47709646,trt_cp,1.16,0.738,1.16,11,9,2,17,
317,NUDT14,trt_sh,1.16,-0.786,1.16,16,10,6,27,
318,TCF7L1,trt_sh,1.159,0.62,1.159,18,13,5,33,
319,CSNK1A1L,trt_sh,1.159,0.626,1.159,26,19,7,37,
320,cilomilast,trt_cp,1.159,-0.587,1.159,28,18,10,59,Phosphodiesterase inhibitor
321,APEX1,trt_sh,1.159,0.856,1.159,15,13,2,27,
322,fentiazac,trt_cp,1.159,0.715,1.159,19,14,5,45,Cyclooxygenase inhibitor
323,SOX4,trt_sh,1.158,0.785,1.158,38,29,9,69,
324,GPX1,trt_sh,1.158,0.672,1.158,19,14,5,27,
325,reichstein,trt_cp,1.158,-0.774,1.158,12,7,5,13,Androgen receptor antagonist
326,ATG16L1,trt_sh,1.157,0.565,1.157,26,18,8,46,
327,CNQX,trt_cp,1.157,-0.287,1.157,35,23,12,57,Glutamate receptor antagonist
328,SLC27A3,trt_sh,1.157,0.76,1.157,15,13,2,36,
329,BMS-182874,trt_cp,1.157,-0.572,1.157,10,6,4,15,Endothelin receptor antagonist
330,ADNP2,trt_sh,1.157,0.828,1.157,18,13,5,33,
331,BRD-K74447990,trt_cp,1.156,-0.828,1.156,10,5,5,13,
332,S-18986,trt_cp,1.156,0.716,1.156,27,19,8,42,
333,farnesylthioacetic-acid,trt_cp,1.156,0.855,1.156,12,10,2,25,Inhibitor of methyl esterification of farnesylated proteins
334,BRF2,trt_sh,1.156,0.86,1.156,17,13,4,24,
335,irinotecan,trt_cp,1.156,0.752,1.156,38,30,8,76,Topoisomerase inhibitor
336,ZNF180,trt_sh,1.156,-0.656,1.156,12,6,6,24,
337,ST-4028268,trt_cp,1.155,0.943,1.155,11,9,2,17,
338,adenosine,trt_cp,1.155,-0.63,1.155,16,10,6,42,adenosine receptor agonist
339,NAA25,trt_sh,1.155,0.951,1.155,15,14,1,33,
340,siramesine,trt_cp,1.155,0.658,1.155,28,20,8,42,sigma receptor antagonist
341,ATP5H,trt_sh,1.155,0.777,1.155,12,11,1,27,
342,BRD-A88504692,trt_cp,1.154,0.675,1.154,13,9,4,17,
343,epoxycholesterol,trt_cp,1.154,0.741,1.154,12,11,1,24,LXR agonist
344,crotamiton,trt_cp,1.154,0.588,1.154,21,15,6,34,Antipruritic
345,FAM57A,trt_sh,1.154,0.74,1.154,24,18,6,42,
